"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_Tratos" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"que" 4.32137778480013 4.0778126880139 5.62817327427892 4.26001357773252 4.87094088259783 4.97368065865839 4.65530225234477 5.24377856780091 4.62992325743642 5.43789808917197 4.84575665298557 5.06520247083047 4.23602341866605 4.24446374294399 5.16222848314096 3.9969361465079 4.15350751268064
"y" 3.34966029388529 3.41600374356575 4.62352814086637 3.13985064494229 4.14238134887594 3.85342151437441 4.135003765318 4.27247333671915 4.21132745607915 3.87738853503185 4.00503111346485 3.87096774193548 3.67351624382964 3.57142857142857 3.54448786694538 5.53582619594736 4.88084984209015
"de" 3.21535787644178 3.8705795841968 2.89510640596305 3.08044806517312 4.70441298917569 3.4080172762856 3.4024782638461 3.68842051802946 3.55172195091013 3.04140127388535 2.42949821263074 3.2258064516129 3.23728618987487 3.30004342162397 3.36271925838408 3.8507067752942 2.98593166810221
"la" 2.32264180755254 2.77424961561602 2.45219833639408 1.91785471826205 2.78934221482098 2.01781616952355 2.10857807900322 2.41239207719655 2.59402549628972 2.19745222929936 2.31696014828545 2.15511324639671 2.72069796808633 2.1168041684759 2.09942742888303 2.25611029872572 2.34472198296488
"el" 2.65444778006004 1.47068654321813 1.97688235929567 1.62932790224033 2.70607826810991 2.11229585639088 2.47826384610118 2.17115286947689 2.44815120187734 1.88694267515924 3.08486694028863 2.60809883321894 2.835495350706 3.25662179765523 1.91765882032173 2.20736717498781 2.44042492104508
"en" 1.78543213777848 1.23671368406979 1.82564545749163 1.84147997284454 1.85956147654732 2.14603860170063 2.14965427534744 2.53301168105637 2.46717828375721 2.09394904458599 2.40301866807891 2.12765957446809 2.08931236367811 2.10594876248372 2.34481505044079 2.1795139614233 2.14374581299646
"a" 1.74593142676568 1.46400160438532 2.09571135357027 1.63781398506449 1.42242575631418 2.04481036577136 1.97850345724653 2.22828847130523 2.07395192490645 2.68312101910828 1.87342777704223 2.48455730954015 1.83675812191482 2.12765957446809 2.1085158593111 1.70600933082654 1.88534788017992
"no" 1.77753199557592 1.61775519753994 1.92286918007994 1.97725729803123 1.33222314737719 1.82885679578891 1.77996850824947 1.64423565261554 1.62364432041606 1.97452229299363 1.64173176221369 1.83939601921757 1.94007576627253 1.93226226660877 1.89039352903754 1.24643130701205 1.45468465881903
"con" 1.19292147258651 1.81830336252423 0.950631954196824 1.11167684996606 1.08243130724396 0.735591847752733 0.896830286848771 1.066531234129 1.11625547028604 1.0031847133758 0.827485767244803 0.974605353466026 1.58420388015153 1.33521493703865 0.917931473234572 1.29517443074995 1.6365202411714
"es" 0.734713224838047 0.394411391135771 0.983039861726261 0.8316361167685 0.915903413821815 1.47118369550547 1.30759225029096 1.15540883697308 0.887930487727532 1.0828025477707 0.860585197934596 1.08442004118051 1.1709333027207 1.11810681719496 1.72680178133236 1.00967899171367 0.937888793185951
