"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.961702860685297 1.07071977800649 1.03234977353694 1.07602583438971 1.09252070565743 1.03176863362993 1.07339826904349 1.0819232343415 1.07886237831663 1.08277348554908 1.08858332324734 1.09731478069169 1.06926074354289 1.07729401693664 1.02030630126003 1.04380253097659
"Argensola_Isabela" 0.961702860685297 0 1.03312438335893 1.03004580452281 1.04103545824953 1.08437160492311 1.0568855490119 1.06193243197272 1.03262153267644 1.08646463651197 1.07832688831121 1.10811949183018 1.11212140102526 1.09112966981435 1.07695436496103 1.02538333827474 1.09296053112524
"Artieda_Amantes" 1.07071977800649 1.03312438335893 0 1.07187787595154 1.09693656384483 1.02865256284791 1.09818648714765 1.05205097927726 1.08803796377336 1.06468846898354 1.09280498360289 1.07855478508475 1.08135951858364 1.06791532434672 1.04078017962582 1.07350694280713 1.04719075412274
"Bermudez_Lastimosa" 1.03234977353694 1.03004580452281 1.07187787595154 0 0.857965313216009 1.08903747872053 1.08653734119567 1.07804232950952 1.0870230024199 1.09390898097172 1.09483220508864 1.12093812158924 1.09845188447918 1.10195575100577 1.06475853609074 1.06145098229655 1.05142820587738
"Bermudez_Laureada" 1.07602583438971 1.04103545824953 1.09693656384483 0.857965313216009 0 1.10530812068953 1.07635127711842 1.06152963839293 1.08595862257393 1.11089006620446 1.07879312675006 1.09511216945529 1.06777869986599 1.09323586310803 1.08340043623866 1.03645701888495 1.07010025019271
"Cervantes_GallardoEspanol" 1.09252070565743 1.08437160492311 1.02865256284791 1.08903747872053 1.10530812068953 0 1.0209649158782 0.967248711930231 0.978246662086303 1.04716902353132 1.11344192474474 1.06285659508004 1.09550829542367 1.05909741410142 1.03041927365176 1.08760414742034 1.08183468583206
"Cervantes_Numancia" 1.03176863362993 1.0568855490119 1.09818648714765 1.08653734119567 1.07635127711842 1.0209649158782 0 0.990332467469456 0.955099328563318 1.11304516726553 1.11171046013467 1.05519929457317 1.09166633185857 1.04632589581419 1.07101139805746 1.08955997588225 1.08518339597983
"Cervantes_Tratos" 1.07339826904349 1.06193243197272 1.05205097927726 1.07804232950952 1.06152963839293 0.967248711930231 0.990332467469456 0 0.965935135604726 1.0700654432044 1.11720171550634 1.09976533842471 1.08501541642237 1.05835304486542 1.05966842793577 1.08743079137135 1.0649647622159
"Duda_Jerusalem" 1.0819232343415 1.03262153267644 1.08803796377336 1.0870230024199 1.08595862257393 0.978246662086303 0.955099328563318 0.965935135604726 0 1.0689507060374 1.10487296176659 1.07305852902512 1.0952932782725 1.08530999772238 1.05570101055191 1.06296159147743 1.06532102412431
"JCueva_Infamador" 1.07886237831663 1.08646463651197 1.06468846898354 1.09390898097172 1.11089006620446 1.04716902353132 1.11304516726553 1.0700654432044 1.0689507060374 0 0.971224689416027 0.959230651484959 1.07218580570445 1.04710860310353 1.04263429713876 1.09203179635308 1.06022078563354
"JCueva_Principe" 1.08277348554908 1.07832688831121 1.09280498360289 1.09483220508864 1.07879312675006 1.11344192474474 1.11171046013467 1.11720171550634 1.10487296176659 0.971224689416027 0 0.979078877432624 0.946153564121891 1.07464003790921 1.09588549512325 1.08262790706225 1.0942884037716
"JCueva_Saco" 1.08858332324734 1.10811949183018 1.07855478508475 1.12093812158924 1.09511216945529 1.06285659508004 1.05519929457317 1.09976533842471 1.07305852902512 0.959230651484959 0.979078877432624 0 1.02754656928206 1.05481411551346 1.08165710309944 1.10217376620738 1.0908793029639
"Lasso_Constantinopla" 1.09731478069169 1.11212140102526 1.08135951858364 1.09845188447918 1.06777869986599 1.09550829542367 1.09166633185857 1.08501541642237 1.0952932782725 1.07218580570445 0.946153564121891 1.02754656928206 0 0.964446977679 1.09066138781079 1.07470815521346 1.0828508579755
"Lasso_Dido.restaurada" 1.06926074354289 1.09112966981435 1.06791532434672 1.10195575100577 1.09323586310803 1.05909741410142 1.04632589581419 1.05835304486542 1.08530999772238 1.04710860310353 1.07464003790921 1.05481411551346 0.964446977679 0 1.05821194243025 1.08963997005559 1.08266590828369
"Virues_Marcela" 1.07729401693664 1.07695436496103 1.04078017962582 1.06475853609074 1.08340043623866 1.03041927365176 1.07101139805746 1.05966842793577 1.05570101055191 1.04263429713876 1.09588549512325 1.08165710309944 1.09066138781079 1.05821194243025 0 0.994549538618745 1.00996798447282
"Virues_Semirámis" 1.02030630126003 1.02538333827474 1.07350694280713 1.06145098229655 1.03645701888495 1.08760414742034 1.08955997588225 1.08743079137135 1.06296159147743 1.09203179635308 1.08262790706225 1.10217376620738 1.07470815521346 1.08963997005559 0.994549538618745 0 0.949903293890589
"Virues_Tirano" 1.04380253097659 1.09296053112524 1.04719075412274 1.05142820587738 1.07010025019271 1.08183468583206 1.08518339597983 1.0649647622159 1.06532102412431 1.06022078563354 1.0942884037716 1.0908793029639 1.0828508579755 1.08266590828369 1.00996798447282 0.949903293890589 0
