"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.936128459935467 1.07558426662796 1.03781170843584 1.06746645224196 1.1053612464999 1.04663217509938 1.09058793230996 1.07949681959456 1.08902977719806 1.08463426942143 1.103179627975 1.09384653063075 1.078855183486 1.06969746634526 1.01901492834224 1.01553215156172
"Argensola_Isabela" 0.936128459935467 0 1.02423174623471 0.997155976170353 1.03480802895089 1.09310954271389 1.0867091528667 1.053789705354 1.05943188573695 1.08948057274037 1.08902508096 1.12144240843461 1.1099708923146 1.0875100909921 1.08169792155537 0.998413291045974 1.09359928105923
"Artieda_Amantes" 1.07558426662796 1.02423174623471 0 1.06842975076766 1.11187859791067 1.00023744580015 1.11286648662489 1.05875547482494 1.09656303198057 1.06005127553916 1.10411717248031 1.08082225492122 1.08264388874058 1.05810187691434 1.04364078093908 1.07119182387878 1.02853046860723
"Bermudez_Lastimosa" 1.03781170843584 0.997155976170353 1.06842975076766 0 0.81594708918593 1.10402483873052 1.07813746739881 1.0643157772135 1.09961404635632 1.09913855363636 1.09183758189177 1.13777172461016 1.12283535305015 1.11727947726727 1.0881164379119 1.0758781102096 1.05789836799043
"Bermudez_Laureada" 1.06746645224196 1.03480802895089 1.11187859791067 0.81594708918593 0 1.13426792182865 1.0816977014905 1.06686355328425 1.09322576838373 1.12665778418091 1.07457902532727 1.09967355501597 1.04961117867386 1.08233077767935 1.11275739441299 1.02505697321271 1.07532434313748
"Cervantes_GallardoEspanol" 1.1053612464999 1.09310954271389 1.00023744580015 1.10402483873052 1.13426792182865 0 1.00723589988153 0.932102699383469 0.960550020608307 1.06077102059403 1.14016081131085 1.06866357328044 1.09222082516716 1.06206334500028 1.01776874372225 1.08620125131646 1.07321138923406
"Cervantes_Numancia" 1.04663217509938 1.0867091528667 1.11286648662489 1.07813746739881 1.0816977014905 1.00723589988153 0 0.966820753539859 0.939253451950866 1.12690944584399 1.11961579906881 1.03435391364156 1.07846383873158 1.03485797282898 1.07250642359793 1.10535822542707 1.09305845386036
"Cervantes_Tratos" 1.09058793230996 1.053789705354 1.05875547482494 1.0643157772135 1.06686355328425 0.932102699383469 0.966820753539859 0 0.938416463004607 1.07292798862863 1.12827314585674 1.12024542644887 1.09942834508961 1.05921938370121 1.04356185073604 1.09129726313019 1.07301565234732
"Duda_Jerusalem" 1.07949681959456 1.05943188573695 1.09656303198057 1.09961404635632 1.09322576838373 0.960550020608307 0.939253451950866 0.938416463004607 0 1.06000885869105 1.12043489390663 1.07008874013646 1.09696895755733 1.06924374179145 1.05383388493551 1.06007232943297 1.06314292899718
"JCueva_Infamador" 1.08902977719806 1.08948057274037 1.06005127553916 1.09913855363636 1.12665778418091 1.06077102059403 1.12690944584399 1.07292798862863 1.06000885869105 0 0.941514681226956 0.931432234231291 1.07298534646257 1.05794577696452 1.04362871339623 1.10414191085324 1.06200062475846
"JCueva_Principe" 1.08463426942143 1.08902508096 1.10411717248031 1.09183758189177 1.07457902532727 1.14016081131085 1.11961579906881 1.12827314585674 1.12043489390663 0.941514681226956 0 0.965485409681722 0.921777907757952 1.06567039937582 1.11030899765691 1.07743932222413 1.1086240657597
"JCueva_Saco" 1.103179627975 1.12144240843461 1.08082225492122 1.13777172461016 1.09967355501597 1.06866357328044 1.03435391364156 1.12024542644887 1.07008874013646 0.931432234231291 0.965485409681722 0 1.01733168474171 1.05289875954868 1.09170581275434 1.11160079258504 1.10566324180001
"Lasso_Constantinopla" 1.09384653063075 1.1099708923146 1.08264388874058 1.12283535305015 1.04961117867386 1.09222082516716 1.07846383873158 1.09942834508961 1.09696895755733 1.07298534646257 0.921777907757952 1.01733168474171 0 0.952477408059864 1.09172333501587 1.08638142319995 1.08724619186208
"Lasso_Dido.restaurada" 1.078855183486 1.0875100909921 1.05810187691434 1.11727947726727 1.08233077767935 1.06206334500028 1.03485797282898 1.05921938370121 1.06924374179145 1.05794577696452 1.06567039937582 1.05289875954868 0.952477408059864 0 1.04560956470022 1.1020392957575 1.08564653065216
"Virues_Marcela" 1.06969746634526 1.08169792155537 1.04364078093908 1.0881164379119 1.11275739441299 1.01776874372225 1.07250642359793 1.04356185073604 1.05383388493551 1.04362871339623 1.11030899765691 1.09170581275434 1.09172333501587 1.04560956470022 0 0.97800231556715 1.00889693986368
"Virues_Semirámis" 1.01901492834224 0.998413291045974 1.07119182387878 1.0758781102096 1.02505697321271 1.08620125131646 1.10535822542707 1.09129726313019 1.06007232943297 1.10414191085324 1.07743932222413 1.11160079258504 1.08638142319995 1.1020392957575 0.97800231556715 0 0.921345920759485
"Virues_Tirano" 1.01553215156172 1.09359928105923 1.02853046860723 1.05789836799043 1.07532434313748 1.07321138923406 1.09305845386036 1.07301565234732 1.06314292899718 1.06200062475846 1.1086240657597 1.10566324180001 1.08724619186208 1.08564653065216 1.00889693986368 0.921345920759485 0
