"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano" "Cervantes_CasaCelos" "Cervantes_Urdemalas" "Duda_Jerusalem"
"que" 4.32137778480013 4.0778126880139 5.62817327427892 4.26001357773252 4.87094088259783 5.55722982339823 4.64815570981353 4.65530225234477 5.43789808917197 4.84575665298557 5.06520247083047 4.23602341866605 4.24446374294399 5.16222848314096 3.9969361465079 4.15350751268064 4.97368065865839 5.24377856780091 4.62992325743642
"y" 3.34966029388529 3.41600374356575 4.62352814086637 3.13985064494229 4.14238134887594 3.69477427520945 3.89955083707636 4.135003765318 3.87738853503185 4.00503111346485 3.87096774193548 3.67351624382964 3.57142857142857 3.54448786694538 5.53582619594736 4.88084984209015 3.85342151437441 4.27247333671915 4.21132745607915
"de" 3.21535787644178 3.8705795841968 2.89510640596305 3.08044806517312 4.70441298917569 3.32107769272497 3.65455287872601 3.4024782638461 3.04140127388535 2.42949821263074 3.2258064516129 3.23728618987487 3.30004342162397 3.36271925838408 3.8507067752942 2.98593166810221 3.4080172762856 3.68842051802946 3.55172195091013
"el" 2.65444778006004 1.47068654321813 1.97688235929567 1.62932790224033 2.70607826810991 2.39286360074739 2.63372805226623 2.47826384610118 1.88694267515924 3.08486694028863 2.60809883321894 2.835495350706 3.25662179765523 1.91765882032173 2.20736717498781 2.44042492104508 2.11229585639088 2.17115286947689 2.44815120187734
"la" 2.32264180755254 2.77424961561602 2.45219833639408 1.91785471826205 2.78934221482098 2.09752275329998 2.62692255342317 2.10857807900322 2.19745222929936 2.31696014828545 2.15511324639671 2.72069796808633 2.1168041684759 2.09942742888303 2.25611029872572 2.34472198296488 2.01781616952355 2.41239207719655 2.59402549628972
"en" 1.78543213777848 1.23671368406979 1.82564545749163 1.84147997284454 1.85956147654732 2.16985112410343 2.38192459507282 2.14965427534744 2.09394904458599 2.40301866807891 2.12765957446809 2.08931236367811 2.10594876248372 2.34481505044079 2.1795139614233 2.14374581299646 2.14603860170063 2.53301168105637 2.46717828375721
"a" 1.74593142676568 1.46400160438532 2.09571135357027 1.63781398506449 1.42242575631418 2.4832740642517 1.70818020960936 1.97850345724653 2.68312101910828 1.87342777704223 2.48455730954015 1.83675812191482 2.12765957446809 2.1085158593111 1.70600933082654 1.88534788017992 2.04481036577136 2.22828847130523 2.07395192490645
"no" 1.77753199557592 1.61775519753994 1.92286918007994 1.97725729803123 1.33222314737719 2.09149538906636 1.51762624200354 1.77996850824947 1.97452229299363 1.64173176221369 1.83939601921757 1.94007576627253 1.93226226660877 1.89039352903754 1.24643130701205 1.45468465881903 1.82885679578891 1.64423565261554 1.62364432041606
"con" 1.19292147258651 1.81830336252423 0.950631954196824 1.11167684996606 1.08243130724396 0.916159363510337 1.16374030216415 0.896830286848771 1.0031847133758 0.827485767244803 0.974605353466026 1.58420388015153 1.33521493703865 0.917931473234572 1.29517443074995 1.6365202411714 0.735591847752733 1.066531234129 1.11625547028604
"por" 1.09021962395323 1.74476903536333 1.28551366533434 0.924983027834352 0.797946155981127 1.10300765475258 0.87790935075541 0.985828712261245 0.788216560509554 0.853965311796637 0.878517501715855 1.14797382619676 0.998697351280938 1.12696537308007 0.863449620499965 0.880467030337831 0.992036712106897 0.984002031488065 1.02746242151329
"es" 0.734713224838047 0.394411391135771 0.983039861726261 0.8316361167685 0.915903413821815 1.17533602555602 0.564856403974411 1.30759225029096 1.0828025477707 0.860585197934596 1.08442004118051 1.1709333027207 1.11810681719496 1.72680178133236 1.00967899171367 0.937888793185951 1.47118369550547 1.15540883697308 0.887930487727532
"me" 1.00331805972508 0.802192659937162 1.03705304094199 1.20502376103191 0.457951706910908 1.19341811825689 0.68054988430652 1.09536523584583 1.20222929936306 0.92678405931418 0.61770761839396 0.860980369647572 0.857577073382545 1.117876942652 0.738110159459648 1.05273231888219 1.11351059522203 0.926866429659726 0.843533963341156
"mi" 0.908516353294359 0.748713149274684 0.507723884627849 0.627970128988459 0.291423813488759 0.741365800735338 0.782632366952498 0.924214417744917 1.19426751592357 1.38355620283331 0.411805078929307 1.02169670531512 1.21580547112462 1.17240752522039 1.25339461040318 1.11972437553833 1.02577945741666 0.780853224987303 0.881588127100907
"los" 1.22452204139675 1.66454976936961 0.518526520470995 0.975899524779362 1.56119900083264 0.705201615333615 0.762215870423302 0.677757239679606 0.318471337579618 0.330994306897921 0.988332189430336 0.48214900700264 0.553625705601389 0.527128964827774 0.77988997980642 0.497655278017035 0.587123768389796 0.647536820721178 0.659605505169024
"se" 0.67941222942013 0.641754127949729 0.853408231608512 0.780719619823489 1.01304468498473 0.970405641612923 0.905131346127671 0.965290614089135 0.700636942675159 0.754667019727261 0.933424845573095 0.895419584433475 0.868432479374729 0.636190129964555 0.473504630596755 0.641209685137334 0.76258604400054 1.02209243270696 0.830849242087905
"lo" 0.876915784484121 0.681863760946587 2.16052716862915 0.560081466395112 0.457951706910908 0.644927972997408 0.489995916700694 0.677757239679606 0.883757961783439 1.11214087117702 0.892244337680165 0.573986913098381 0.803300043421624 0.754339725529401 0.591880788245944 0.459374102784955 0.620866513699555 0.768156424581006 0.634236062662523
"su" 0.711012798230368 0.815562537602781 0.529329156314141 0.46673455532926 0.846516791562587 0.681092158399132 0.52402341091602 0.725679468747861 0.828025477707006 0.873824970210512 1.01578586135896 0.654345080932155 0.770733825445072 0.64527856039262 0.584917484854815 0.593358216097234 0.553381023080038 0.698324022346369 0.431280522610516
"tu" 0.774213935850845 0.615014372618491 0.324079075294372 0.780719619823489 0.374687760199833 0.578626966427581 0.455968422485368 0.499760388854659 0.883757961783439 1.42327551966106 0.452985586822237 0.528067960050511 0.716456795484151 0.59074797782423 0.654550518766103 0.851756148913772 0.715346200566878 0.507872016251904 0.913299930234033
