"Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "Duda_Jerusalem" "JCueva_Infamador" "Virues_Atila"
"ni" 0.247121933578446 0.231386960664217 0.150612719928801 0.228324982558508 0.270700636942675 0.354100870896737
"mas" 0.132602013139654 0.279025452565673 0.219073047169165 0.234667343185134 0.246815286624204 0.133984113312279
"esta" 0.18684829124224 0.279025452565673 0.294379407133566 0.583497177649521 0.214968152866242 0.315819695664657
"ha" 0.307395575914652 0.428746427113107 0.527144519750804 0.336145113211137 0.421974522292994 0.162694994736338
"señor" 0.253149297812067 0.142915475704369 0.219073047169165 0.247352064438384 0.246815286624204 0.220116757584458
"porque" 0.295340847447411 0.210970464135021 0.232765112617238 0.183928458172132 0.302547770700637 0.220116757584458
"cielo" 0.108492556205171 0.149720974547434 0.328609570753748 0.209297900678633 0.199044585987261 0.220116757584458
"este" 0.235067205111205 0.279025452565673 0.28753337440953 0.374199276970889 0.246815286624204 0.315819695664657
"oh" 0.132602013139654 0.210970464135021 0.26699527623742 0.291748588824761 0.103503184713376 0.344530577088717
"muerte" 0.0723283708034477 0.306247447937934 0.136920654480728 0.14587429441238 0.318471337579618 0.296679108048617
"sus" 0.19287565547586 0.224581461821151 0.109536523584583 0.190270818798757 0.0477707006369427 0.114843525696239
"tal" 0.210957748176722 0.18374846876276 0.130074621756692 0.126847212532505 0.278662420382166 0.239257345200498
"todo" 0.204930383943102 0.238192459507282 0.19168891627302 0.202955540052007 0.159235668789809 0.181835582352378
"vida" 0.0964378277379302 0.360691438682455 0.198534948997056 0.183928458172132 0.151273885350318 0.277538520432577
"esto" 0.132602013139654 0.204164965291956 0.143766687204765 0.215640261305258 0.334394904458599 0.0957029380801991
"aquí" 0.241094569344826 0.231386960664217 0.246457178065311 0.253694425065009 0.35828025477707 0.296679108048617
"mí" 0.162738834307757 0.129304478018239 0.171150818100911 0.164901376292256 0.342356687898089 0.363671164704756
"tú" 0.156711470074137 0.231386960664217 0.212227014445129 0.221982621931883 0.35828025477707 0.210546463776438
"os" 0.277258754746549 0.319858445624064 0.143766687204765 0.126847212532505 0.071656050955414 0.105273231888219
"amor" 0.138629377373275 0.122498979175174 0.184842883548983 0.215640261305258 0.0955414012738854 0.229687051392478
"nos" 0.0723283708034477 0.333469443310195 0.082152392688437 0.190270818798757 0.151273885350318 0.0669920566561393
"así" 0.138629377373275 0.0068054988430652 0.0616142945163278 0.190270818798757 0.493630573248408 0.325389989472677
"mis" 0.168766198541378 0.238192459507282 0.157458752652838 0.120504851905879 0.103503184713376 0.267968226624557
"una" 0.18684829124224 0.122498979175174 0.26699527623742 0.202955540052007 0.199044585987261 0.172265288544358
"él" 0.325477668615514 0.0884714849598476 0.150612719928801 0.158559015665631 0.119426751592357 0.229687051392478
"ti" 0.0783557350370683 0.0952769838029128 0.0958444581365099 0.120504851905879 0.214968152866242 0.181835582352378
"pero" 0.156711470074137 0.102082482645978 0.136920654480728 0.152216655039006 0 0.124413819504259
"dios" 0.204930383943102 0.0272219953722608 0.205380981721093 0.202955540052007 0.135350318471338 0.0478514690400995
"aunque" 0.19287565547586 0.210970464135021 0.164304785376874 0.158559015665631 0.17515923566879 0.153124700928319
"ella" 0.066301006569827 0.0884714849598476 0.143766687204765 0.209297900678633 0.294585987261146 0.143554407120299
"triste" 0.0482189138689651 0.176942969919695 0.0547682617922914 0.0761083275195028 0.111464968152866 0.162694994736338
"cual" 0.0542462781025857 0.142915475704369 0.130074621756692 0.14587429441238 0.286624203821656 0.200976169968418
"está" 0.204930383943102 0.251803457193412 0.28753337440953 0.190270818798757 0.191082802547771 0.210546463776438
"mal" 0.216985112410343 0.204164965291956 0.19168891627302 0.196613179425382 0.111464968152866 0.143554407120299
"ay" 0.0120547284672413 0.034027494215326 0.0753063599644006 0.0761083275195028 0.0875796178343949 0.0957029380801991
"alma" 0.19287565547586 0.0952769838029128 0.184842883548983 0.120504851905879 0.0955414012738854 0.239257345200498
"tus" 0.114519920438792 0.149720974547434 0.0684603272403642 0.183928458172132 0.0796178343949045 0.124413819504259
"ver" 0.162738834307757 0.0544439907445216 0.0889984254124735 0.0951354093993785 0.111464968152866 0.0765623504641593
"tierra" 0.120547284672413 0.102082482645978 0.177996850824947 0.107820130652629 0.0398089171974522 0.162694994736338
"gran" 0.144656741606895 0.0816659861167824 0.0616142945163278 0.164901376292256 0.0875796178343949 0.0957029380801991
"luego" 0.0542462781025857 0.129304478018239 0.123228589032656 0.139531933785755 0.207006369426752 0.105273231888219
"suerte" 0.0723283708034477 0.122498979175174 0.109536523584583 0.0380541637597514 0.262738853503185 0.0957029380801991
"tanto" 0.114519920438792 0.0884714849598476 0.123228589032656 0.114162491279254 0.0796178343949045 0.143554407120299
"dos" 0.0904104635043096 0.0476384919014564 0.164304785376874 0.0697659668928775 0.119426751592357 0.124413819504259
"cómo" 0.132602013139654 0.0952769838029128 0.198534948997056 0.126847212532505 0.0477707006369427 0.162694994736338
"quiero" 0.120547284672413 0.115693480332108 0.150612719928801 0.0951354093993785 0.278662420382166 0.114843525696239
"donde" 0.0602736423362064 0.0272219953722608 0.0547682617922914 0.0951354093993785 0.135350318471338 0.153124700928319
"fin" 0.102465191971551 0.197359466448891 0.082152392688437 0.158559015665631 0.143312101910828 0.0669920566561393
"son" 0.114519920438792 0.176942969919695 0.102690490860546 0.13318957315913 0.0398089171974522 0.162694994736338
"hay" 0.223012476643964 0.129304478018239 0.177996850824947 0.14587429441238 0.262738853503185 0.124413819504259
"quién" 0.126574648906033 0.068054988430652 0.130074621756692 0.158559015665631 0.18312101910828 0.248827639008518
"he" 0.229039840877584 0.068054988430652 0.26699527623742 0.14587429441238 0.151273885350318 0.105273231888219
"cosa" 0.126574648906033 0.068054988430652 0.082152392688437 0.0697659668928775 0.191082802547771 0.0574217628481194
"aquel" 0.0964378277379302 0.034027494215326 0.082152392688437 0.177586097545506 0.0636942675159236 0.133984113312279
"soy" 0.204930383943102 0.0748604872737172 0.123228589032656 0.190270818798757 0.17515923566879 0.162694994736338
"mundo" 0.0542462781025857 0.0408329930583912 0.0410761963442185 0.0380541637597514 0.0955414012738854 0.143554407120299
"cuando" 0.114519920438792 0.142915475704369 0.0684603272403642 0.126847212532505 0.0398089171974522 0.143554407120299
"gente" 0.0602736423362064 0.0816659861167824 0.0889984254124735 0.164901376292256 0.0398089171974522 0.143554407120299
"fue" 0.0904104635043096 0.0612494895875868 0.0410761963442185 0.139531933785755 0.18312101910828 0.153124700928319
"sea" 0.0723283708034477 0.108887981489043 0.0547682617922914 0.0761083275195028 0.310509554140127 0.0478514690400995
"tiene" 0.126574648906033 0.142915475704369 0.225919079893202 0.126847212532505 0.159235668789809 0.124413819504259
"pecho" 0.0602736423362064 0.18374846876276 0.157458752652838 0.120504851905879 0.0796178343949045 0.181835582352378
"mano" 0.126574648906033 0.102082482645978 0.123228589032656 0.0951354093993785 0.103503184713376 0.0765623504641593
"ojos" 0.0482189138689651 0.0612494895875868 0.0684603272403642 0.0634236062662523 0.0238853503184713 0.114843525696239
"puede" 0.102465191971551 0.102082482645978 0.0684603272403642 0.0443965243863766 0.071656050955414 0.105273231888219
"digo" 0.0482189138689651 0.0748604872737172 0.0616142945163278 0.120504851905879 0.119426751592357 0.114843525696239
"todos" 0.0241094569344826 0.136109976861304 0.0616142945163278 0.0634236062662523 0.0238853503184713 0.0669920566561393
"hecho" 0.0783557350370683 0.0476384919014564 0.102690490860546 0.0634236062662523 0.143312101910828 0.105273231888219
"mil" 0.0843830992706889 0.1565264733905 0.184842883548983 0.0570812456396271 0.0875796178343949 0.306249401856637
"veo" 0.0964378277379302 0.108887981489043 0.0684603272403642 0.0570812456396271 0.0796178343949045 0.0765623504641593
"contra" 0.0482189138689651 0.102082482645978 0.0136920654480728 0.0380541637597514 0.071656050955414 0.0287108814240597
"nombre" 0.102465191971551 0.0272219953722608 0.102690490860546 0.0697659668928775 0.071656050955414 0.0765623504641593
"sé" 0.156711470074137 0.0612494895875868 0.19168891627302 0.114162491279254 0.0477707006369427 0.105273231888219
"dar" 0.138629377373275 0.108887981489043 0.102690490860546 0.0443965243863766 0.143312101910828 0.0574217628481194
"parte" 0.120547284672413 0.0748604872737172 0.0410761963442185 0.0887930487727532 0.0955414012738854 0.0191405876160398
"has" 0.0964378277379302 0.102082482645978 0.164304785376874 0.107820130652629 0.17515923566879 0.0669920566561393
"será" 0.102465191971551 0.142915475704369 0.102690490860546 0.114162491279254 0.159235668789809 0.0574217628481194
"caso" 0.0241094569344826 0.0408329930583912 0.0273841308961457 0.0380541637597514 0.167197452229299 0.0669920566561393
"muy" 0.150684105840516 0.0476384919014564 0.164304785376874 0.082450688146128 0.0636942675159236 0.105273231888219
"señora" 0.132602013139654 0.0272219953722608 0.184842883548983 0.0443965243863766 0.151273885350318 0.105273231888219
"también" 0.0180820927008619 0.129304478018239 0.0958444581365099 0.0761083275195028 0.0398089171974522 0.0478514690400995
"hacer" 0.120547284672413 0.129304478018239 0.0958444581365099 0.139531933785755 0.167197452229299 0.0478514690400995
"padre" 0.0241094569344826 0.0544439907445216 0.0616142945163278 0.0126847212532505 0.071656050955414 0.0191405876160398
"manos" 0.114519920438792 0.176942969919695 0.0547682617922914 0.0634236062662523 0.0477707006369427 0.0478514690400995
"ahora" 0.0120547284672413 0.0204164965291956 0 0.139531933785755 0.00796178343949045 0.172265288544358
"antes" 0.0482189138689651 0.108887981489043 0.102690490860546 0.0761083275195028 0.0398089171974522 0.0765623504641593
"tengo" 0.114519920438792 0.108887981489043 0.150612719928801 0.0443965243863766 0.135350318471338 0.114843525696239
"agora" 0.120547284672413 0.0952769838029128 0.102690490860546 0.00634236062662523 0.199044585987261 0
"entre" 0.0904104635043096 0.0544439907445216 0.150612719928801 0.0951354093993785 0.0318471337579618 0.0765623504641593
"razón" 0.0964378277379302 0.0748604872737172 0.0753063599644006 0.0317118031331262 0.222929936305732 0.0669920566561393
"sino" 0.0723283708034477 0.0408329930583912 0.136920654480728 0.0443965243863766 0.0477707006369427 0.0669920566561393
"siempre" 0.102465191971551 0.0612494895875868 0.0684603272403642 0.0443965243863766 0.0477707006369427 0.0478514690400995
"sí" 0.126574648906033 0.0408329930583912 0.164304785376874 0.101477770026004 0.111464968152866 0.0957029380801991
"fuerte" 0.0542462781025857 0.102082482645978 0.0205380981721093 0.0951354093993785 0.0318471337579618 0.114843525696239
"gloria" 0.0421915496353445 0.115693480332108 0.0684603272403642 0.13318957315913 0.111464968152866 0.0478514690400995
"gusto" 0.126574648906033 0.0612494895875868 0.0479222290682549 0.120504851905879 0.0159235668789809 0.162694994736338
"punto" 0.0723283708034477 0.068054988430652 0.0753063599644006 0.101477770026004 0.0796178343949045 0.0478514690400995
"tiempo" 0.108492556205171 0.129304478018239 0.0958444581365099 0.082450688146128 0.0318471337579618 0.0669920566561393
"grande" 0.0843830992706889 0.0204164965291956 0.0753063599644006 0.0380541637597514 0.0159235668789809 0.0669920566561393
"otro" 0.120547284672413 0.0952769838029128 0.130074621756692 0.13318957315913 0.0557324840764331 0.0765623504641593
"aquella" 0.0241094569344826 0.0408329930583912 0.0205380981721093 0.0570812456396271 0.00796178343949045 0.0574217628481194
"cruel" 0 0.0272219953722608 0.0205380981721093 0.0126847212532505 0.0477707006369427 0.114843525696239
"sangre" 0.0180820927008619 0.136109976861304 0.0410761963442185 0.0253694425065009 0.0238853503184713 0.220116757584458
"mira" 0.0783557350370683 0.034027494215326 0.0616142945163278 0.0887930487727532 0.0398089171974522 0.133984113312279
"justo" 0 0.0408329930583912 0.0273841308961457 0.082450688146128 0.0636942675159236 0.0957029380801991
"reina" 0.00602736423362064 0 0.0205380981721093 0.0443965243863766 0.00796178343949045 0.411522633744856
"vos" 0.0602736423362064 0.0272219953722608 0.177996850824947 0.0634236062662523 0.0238853503184713 0.0478514690400995
"vuestro" 0.0783557350370683 0.115693480332108 0.0342301636201821 0.0887930487727532 0.0238853503184713 0.0191405876160398
"sobre" 0.0482189138689651 0.0272219953722608 0.0547682617922914 0.0190270818798757 0.0796178343949045 0.0382811752320796
"viene" 0.066301006569827 0.0544439907445216 0.102690490860546 0.126847212532505 0.143312101910828 0.0669920566561393
"vn" 0 0 0 0 0 0
"estoy" 0.108492556205171 0.0544439907445216 0.0410761963442185 0.0634236062662523 0.151273885350318 0.124413819504259
"deseo" 0.174793562774998 0.0612494895875868 0.0958444581365099 0.0951354093993785 0.127388535031847 0.0765623504641593
"fiero" 0.00602736423362064 0.0612494895875868 0.0205380981721093 0.0380541637597514 0.0477707006369427 0.105273231888219
"hijo" 0.0301368211681032 0.0476384919014564 0.0342301636201821 0.0190270818798757 0.0557324840764331 0
"do" 0.0421915496353445 0.142915475704369 0.109536523584583 0.164901376292256 0.0796178343949045 0.0382811752320796
"hoy" 0.0602736423362064 0.0408329930583912 0.0547682617922914 0.0697659668928775 0.17515923566879 0.0191405876160398
"fe" 0.0361641854017238 0 0.109536523584583 0.0190270818798757 0.0398089171974522 0.105273231888219
"hombre" 0.0783557350370683 0 0.0273841308961457 0.0126847212532505 0.0955414012738854 0.0957029380801991
"mía" 0.0542462781025857 0.0748604872737172 0.0958444581365099 0.082450688146128 0.0875796178343949 0.0669920566561393
"puesto" 0.0783557350370683 0.0816659861167824 0.109536523584583 0.0507388850130018 0.0557324840764331 0.0574217628481194
"cierto" 0.0542462781025857 0.068054988430652 0.123228589032656 0.0634236062662523 0.0557324840764331 0.0669920566561393
"da" 0.0723283708034477 0 0.0889984254124735 0.0507388850130018 0.0796178343949045 0.0191405876160398
"estas" 0.0301368211681032 0.034027494215326 0.0479222290682549 0.0507388850130018 0.00796178343949045 0.0957029380801991
"corazón" 0.0542462781025857 0 0.0479222290682549 0.082450688146128 0.0477707006369427 0.172265288544358
"presto" 0.0904104635043096 0.122498979175174 0.0342301636201821 0.082450688146128 0.111464968152866 0.0861326442721792
"cosas" 0.0602736423362064 0.0408329930583912 0.0342301636201821 0.0443965243863766 0.0318471337579618 0.0382811752320796
"cuanto" 0.0843830992706889 0.0748604872737172 0.0684603272403642 0.0570812456396271 0.0636942675159236 0.153124700928319
"solo" 0.0241094569344826 0.204164965291956 0.0410761963442185 0.0887930487727532 0.0796178343949045 0.0669920566561393
"nuestro" 0.0120547284672413 0.217775962978086 0.0753063599644006 0.107820130652629 0.0238853503184713 0.00957029380801991
"buen" 0.114519920438792 0.068054988430652 0.102690490860546 0.101477770026004 0.0318471337579618 0.0191405876160398
"justicia" 0.00602736423362064 0.0068054988430652 0.00684603272403642 0.00634236062662523 0.0875796178343949 0.00957029380801991
"allá" 0.0241094569344826 0.0408329930583912 0.102690490860546 0.0317118031331262 0.0636942675159236 0.0191405876160398
"mujer" 0.0361641854017238 0.0272219953722608 0.0410761963442185 0.0380541637597514 0.071656050955414 0.0861326442721792
"nuestra" 0.0241094569344826 0.244997958350347 0.116382556308619 0.126847212532505 0.0238853503184713 0.00957029380801991
"fuera" 0.0361641854017238 0.0816659861167824 0.0684603272403642 0.0570812456396271 0.0557324840764331 0.0382811752320796
"reino" 0 0.0136109976861304 0.00684603272403642 0 0.0159235668789809 0.0287108814240597
"sólo" 0.0843830992706889 0.0272219953722608 0.082152392688437 0.0380541637597514 0.0796178343949045 0.0957029380801991
"dulce" 0.0120547284672413 0.142915475704369 0.109536523584583 0.0634236062662523 0.00796178343949045 0.0478514690400995
"menos" 0.0723283708034477 0.0476384919014564 0.0410761963442185 0.0570812456396271 0.0238853503184713 0.0382811752320796
"qu" 0 0 0.00684603272403642 0 0 0.0287108814240597
"va" 0.0783557350370683 0.034027494215326 0.0547682617922914 0.0507388850130018 0.0318471337579618 0.0478514690400995
"valor" 0.0904104635043096 0.204164965291956 0.0273841308961457 0.126847212532505 0.0318471337579618 0.0478514690400995
"vuestra" 0.0904104635043096 0.0748604872737172 0.0684603272403642 0.0634236062662523 0.0318471337579618 0.0574217628481194
"otra" 0.0602736423362064 0.0748604872737172 0.102690490860546 0.107820130652629 0.0875796178343949 0.0287108814240597
"amigo" 0.132602013139654 0.176942969919695 0.0958444581365099 0.0761083275195028 0.071656050955414 0.0574217628481194
"causa" 0.0361641854017238 0.0204164965291956 0.0410761963442185 0.0634236062662523 0.0398089171974522 0.0574217628481194
"fuego" 0.0241094569344826 0.115693480332108 0.0889984254124735 0.107820130652629 0.127388535031847 0.315819695664657
"intento" 0.0723283708034477 0.068054988430652 0.0547682617922914 0.0951354093993785 0.103503184713376 0.0382811752320796
"medio" 0.0301368211681032 0.0884714849598476 0.0342301636201821 0.0443965243863766 0.0477707006369427 0.0191405876160398
"esa" 0.0361641854017238 0.0476384919014564 0.0410761963442185 0.0951354093993785 0.167197452229299 0.200976169968418
"hasta" 0.120547284672413 0.034027494215326 0.0479222290682549 0.0887930487727532 0.0398089171974522 0.0861326442721792
"tras" 0.0301368211681032 0.0068054988430652 0.0136920654480728 0.0317118031331262 0.0477707006369427 0.00957029380801991
"después" 0.0241094569344826 0.034027494215326 0.0273841308961457 0.0190270818798757 0.0318471337579618 0.0191405876160398
"estos" 0.0482189138689651 0.0612494895875868 0.0684603272403642 0.0380541637597514 0.0238853503184713 0.0574217628481194
"tienes" 0.066301006569827 0.0544439907445216 0.0479222290682549 0.0634236062662523 0.103503184713376 0.0191405876160398
"voluntad" 0.0602736423362064 0.0476384919014564 0.0684603272403642 0.0380541637597514 0.0636942675159236 0.0382811752320796
"deste" 0.0964378277379302 0.0748604872737172 0.082152392688437 0 0.0636942675159236 0
"duro" 0 0.102082482645978 0.0342301636201821 0.0380541637597514 0.071656050955414 0.0191405876160398
"principe" 0 0 0 0 0 0
"puedo" 0.102465191971551 0.0544439907445216 0.0547682617922914 0.082450688146128 0.0318471337579618 0.0287108814240597
"allí" 0.066301006569827 0.102082482645978 0.0889984254124735 0.107820130652629 0.0557324840764331 0.0957029380801991
"dolor" 0.0120547284672413 0.0612494895875868 0.0684603272403642 0.114162491279254 0.0398089171974522 0.0478514690400995
"suelo" 0.0301368211681032 0.102082482645978 0.123228589032656 0.082450688146128 0.0159235668789809 0.0382811752320796
"alto" 0.00602736423362064 0.0476384919014564 0.0547682617922914 0.0951354093993785 0.0318471337579618 0.0191405876160398
"día" 0.0964378277379302 0.0272219953722608 0.0684603272403642 0.0570812456396271 0.103503184713376 0.0765623504641593
"quieres" 0.0602736423362064 0.0272219953722608 0.0958444581365099 0.0951354093993785 0.0955414012738854 0.0765623504641593
"mejor" 0.0361641854017238 0.0952769838029128 0.0684603272403642 0.101477770026004 0.0238853503184713 0.0191405876160398
"ves" 0.0120547284672413 0.0748604872737172 0.0479222290682549 0.0507388850130018 0.0477707006369427 0
"poco" 0.0783557350370683 0.0952769838029128 0.130074621756692 0.114162491279254 0.0238853503184713 0.0382811752320796
"voy" 0.066301006569827 0.0136109976861304 0.0273841308961457 0.0761083275195028 0.111464968152866 0.0669920566561393
"han" 0.102465191971551 0.142915475704369 0.082152392688437 0.114162491279254 0.0477707006369427 0.0765623504641593
"madre" 0.00602736423362064 0.0952769838029128 0.102690490860546 0.0126847212532505 0.0796178343949045 0
"eres" 0.114519920438792 0.0408329930583912 0.109536523584583 0.0697659668928775 0.0318471337579618 0.0574217628481194
"cuerpo" 0.0241094569344826 0.0476384919014564 0.123228589032656 0.0507388850130018 0.0477707006369427 0.0957029380801991
"estado" 0.00602736423362064 0.0204164965291956 0.0616142945163278 0.0317118031331262 0.0477707006369427 0.0191405876160398
"parece" 0.0602736423362064 0.0748604872737172 0.0342301636201821 0.0380541637597514 0.0398089171974522 0.0669920566561393
"pena" 0.0241094569344826 0.0272219953722608 0.0889984254124735 0.0570812456396271 0.0318471337579618 0.0574217628481194
"guerra" 0.132602013139654 0.1565264733905 0.0753063599644006 0.158559015665631 0.0159235668789809 0.0669920566561393
"pies" 0.0602736423362064 0.0068054988430652 0.0410761963442185 0.0507388850130018 0 0.0287108814240597
"sido" 0.0361641854017238 0.0816659861167824 0.0342301636201821 0.0443965243863766 0.111464968152866 0.00957029380801991
"vamos" 0.0602736423362064 0.068054988430652 0.0273841308961457 0.0443965243863766 0.0955414012738854 0.0191405876160398
"aun" 0.0723283708034477 0.034027494215326 0.109536523584583 0.0253694425065009 0.0318471337579618 0.00957029380801991
"ese" 0.0542462781025857 0.0544439907445216 0.0410761963442185 0.101477770026004 0.127388535031847 0.114843525696239
"mío" 0.0241094569344826 0.0952769838029128 0.0684603272403642 0.0761083275195028 0.0875796178343949 0.0669920566561393
"mismo" 0.0542462781025857 0.0204164965291956 0.0479222290682549 0.082450688146128 0 0.0957029380801991
"primero" 0.0301368211681032 0.0748604872737172 0.0342301636201821 0.0761083275195028 0 0.0574217628481194
"queda" 0.0542462781025857 0.0884714849598476 0.0479222290682549 0.0634236062662523 0.0318471337579618 0.0574217628481194
"ciudad" 0.0421915496353445 0.0952769838029128 0.0136920654480728 0.272721506944885 0.00796178343949045 0.0382811752320796
"lugar" 0.0301368211681032 0.034027494215326 0.0205380981721093 0.0761083275195028 0.0159235668789809 0.0287108814240597
"real" 0.00602736423362064 0.0068054988430652 0.0342301636201821 0.00634236062662523 0.0159235668789809 0.00957029380801991
"fortuna" 0.0361641854017238 0.0408329930583912 0.0479222290682549 0.0380541637597514 0.0159235668789809 0.0478514690400995
"ley" 0.0421915496353445 0.0068054988430652 0.0410761963442185 0.0443965243863766 0.0557324840764331 0.00957029380801991
"mayor" 0.0361641854017238 0.068054988430652 0.0684603272403642 0.0570812456396271 0.00796178343949045 0.0669920566561393
"qual" 0 0 0 0 0 0
"di" 0.0361641854017238 0.0272219953722608 0.0547682617922914 0.0443965243863766 0.0875796178343949 0.0669920566561393
"mar" 0.0542462781025857 0 0.0889984254124735 0 0.0159235668789809 0.0765623504641593
"quiere" 0.0361641854017238 0.0612494895875868 0.0616142945163278 0.101477770026004 0.0477707006369427 0.00957029380801991
"sol" 0.0783557350370683 0.0272219953722608 0.0342301636201821 0.00634236062662523 0.00796178343949045 0.0861326442721792
"contento" 0.00602736423362064 0.068054988430652 0.0684603272403642 0.126847212532505 0.0238853503184713 0.191405876160398
"dura" 0.0180820927008619 0.0748604872737172 0.082152392688437 0.0697659668928775 0.0477707006369427 0.0287108814240597
"eso" 0.066301006569827 0.0272219953722608 0.0684603272403642 0.082450688146128 0.0955414012738854 0.0861326442721792
"ésta" 0.0482189138689651 0 0.0616142945163278 0 0.0557324840764331 0.0287108814240597
"eterno" 0.00602736423362064 0.0136109976861304 0.0205380981721093 0.0126847212532505 0.0318471337579618 0.0478514690400995
"nunca" 0.0904104635043096 0.0816659861167824 0.0753063599644006 0.0761083275195028 0.0557324840764331 0.0191405876160398
"ventura" 0.0783557350370683 0.129304478018239 0.0753063599644006 0.126847212532505 0.0477707006369427 0.0191405876160398
"castigo" 0.00602736423362064 0 0.00684603272403642 0.0126847212532505 0.0636942675159236 0.0382811752320796
"daño" 0.0301368211681032 0.115693480332108 0.0684603272403642 0.0761083275195028 0.0398089171974522 0.0382811752320796
"ellos" 0.0120547284672413 0.0612494895875868 0.0616142945163278 0.0317118031331262 0.0238853503184713 0.0287108814240597
"noche" 0.0602736423362064 0.034027494215326 0.0479222290682549 0.0634236062662523 0.0477707006369427 0.0382811752320796
"verdad" 0.0723283708034477 0.0272219953722608 0.0342301636201821 0.152216655039006 0.159235668789809 0.0478514690400995
"amigos" 0.0421915496353445 0.0816659861167824 0.00684603272403642 0.0761083275195028 0.00796178343949045 0.0287108814240597
"dio" 0.0361641854017238 0.0068054988430652 0.0410761963442185 0.0443965243863766 0.0796178343949045 0.0382811752320796
