"Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "Duda_Jerusalem" "JCueva_Infamador" "Virues_Atila"
"que" 5.55722982339823 4.64815570981353 4.65530225234477 4.62992325743642 5.43789808917197 4.15350751268064
"y" 3.69477427520945 3.89955083707636 4.135003765318 4.21132745607915 3.87738853503185 4.88084984209015
"de" 3.32107769272497 3.65455287872601 3.4024782638461 3.55172195091013 3.04140127388535 2.98593166810221
"la" 2.09752275329998 2.62692255342317 2.10857807900322 2.59402549628972 2.19745222929936 2.34472198296488
"el" 2.39286360074739 2.63372805226623 2.47826384610118 2.44815120187734 1.88694267515924 2.44042492104508
"en" 2.16985112410343 2.38192459507282 2.14965427534744 2.46717828375721 2.09394904458599 2.14374581299646
"a" 2.4832740642517 1.70818020960936 1.97850345724653 2.07395192490645 2.68312101910828 1.88534788017992
"no" 2.09149538906636 1.51762624200354 1.77996850824947 1.62364432041606 1.97452229299363 1.45468465881903
"con" 0.916159363510337 1.16374030216415 0.896830286848771 1.11625547028604 1.0031847133758 1.6365202411714
"por" 1.10300765475258 0.87790935075541 0.985828712261245 1.02746242151329 0.788216560509554 0.880467030337831
"es" 1.17533602555602 0.564856403974411 1.30759225029096 0.887930487727532 1.0828025477707 0.937888793185951
"me" 1.19341811825689 0.68054988430652 1.09536523584583 0.843533963341156 1.20222929936306 1.05273231888219
"mi" 0.741365800735338 0.782632366952498 0.924214417744917 0.881588127100907 1.19426751592357 1.11972437553833
"los" 0.705201615333615 0.762215870423302 0.677757239679606 0.659605505169024 0.318471337579618 0.497655278017035
"lo" 0.644927972997408 0.489995916700694 0.677757239679606 0.634236062662523 0.883757961783439 0.459374102784955
"se" 0.970405641612923 0.905131346127671 0.965290614089135 0.830849242087905 0.700636942675159 0.641209685137334
"su" 0.681092158399132 0.52402341091602 0.725679468747861 0.431280522610516 0.828025477707006 0.593358216097234
"te" 0.626845880296546 0.360691438682455 0.588758814267132 0.665947865795649 0.867834394904459 0.736912623217533
"tu" 0.578626966427581 0.455968422485368 0.499760388854659 0.913299930234033 0.883757961783439 0.851756148913772
"si" 0.813694171538786 0.70777187967878 0.725679468747861 0.900615208980783 0.660828025477707 0.516795865633075
"al" 0.626845880296546 0.728188376207976 0.698295337851715 0.672290226422274 0.53343949044586 0.641209685137334
"del" 0.397806039418962 0.544439907445216 0.465530225234477 0.488361768250143 0.35828025477707 0.736912623217533
"las" 0.439997589054307 0.646522390091194 0.369685767097967 0.589839538276146 0.342356687898089 0.574217628481194
"yo" 0.687119522632753 0.52402341091602 0.540836585198877 0.672290226422274 0.732484076433121 0.622069097521294
"qué" 0.500271231390513 0.496801415543759 0.342301636201821 0.526415932009894 0.565286624203822 0.478514690400995
"tan" 0.277258754746549 0.462773921328433 0.417607996166222 0.494704128876768 0.36624203821656 0.440233515168916
"más" 0.524380688324996 0.632911392405063 0.581912781543096 0.482019407623517 0.390127388535032 0.421092927552876
"pues" 0.385751310951721 0.469579420171499 0.342301636201821 0.634236062662523 0.445859872611465 0.478514690400995
"le" 0.560544873726719 0.224581461821151 0.486068323406586 0.27906386757151 0.382165605095541 0.325389989472677
"un" 0.584654330661202 0.374302436368586 0.540836585198877 0.310775670704636 0.437898089171975 0.440233515168916
"ya" 0.433970224820686 0.52402341091602 0.410761963442185 0.551785374516395 0.334394904458599 0.622069097521294
"o" 0.349587125549997 0.360691438682455 0.273841308961457 0.177586097545506 0.294585987261146 0.181835582352378
"rey" 0.0843830992706889 0.0136109976861304 0.116382556308619 0.14587429441238 0.00796178343949045 0.430663221360896
"sin" 0.277258754746549 0.285830951408738 0.376531799822003 0.342487473837762 0.421974522292994 0.220116757584458
"bien" 0.289313483213791 0.306247447937934 0.444992127062367 0.380541637597514 0.222929936305732 0.315819695664657
"como" 0.229039840877584 0.238192459507282 0.225919079893202 0.14587429441238 0.207006369426752 0.287108814240597
"ser" 0.313422940148273 0.204164965291956 0.219073047169165 0.253694425065009 0.18312101910828 0.287108814240597
"para" 0.319450304381894 0.231386960664217 0.273841308961457 0.260036785691634 0.246815286624204 0.239257345200498
"quien" 0.313422940148273 0.244997958350347 0.19168891627302 0.241009703811759 0.382165605095541 0.296679108048617
