"ne0013" "ne0014" "ne0015" "ne0016" "ne0017" "ne0020" "ne0021" "ne0022" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037"
"de" 4.77948226270374 5.41988481628644 4.90426783613221 4.87865588052271 5.17812758906379 4.91885485047411 4.64748656338919 4.69245145039408 5.14613628416874 5.22248336852169 5.75993081710911 5.47786690725087 6.61617480630278
"la" 3.55225311601151 4.02696548953078 3.92020536955824 3.72121966397013 4.76387738193869 4.71371261852662 4.52102434397724 3.97741122938165 4.45710524691993 4.43506088249744 4.53329995562282 4.16576774471924 4.62261687124576
"el" 2.68935762224353 2.84834144381446 2.92009840624666 2.78365484339349 3.69200497100249 3.62417943107221 4.11792601960164 3.49394653449257 4.15681112322343 4.13761967361139 4.15324920633114 3.84411712789535 3.42996430747802
"y" 3.79194630872483 4.21000937541855 3.8827682105038 3.3146650072599 3.99233637116819 3.63785557986871 3.4539993676889 3.34768830746729 2.90421440177708 2.93590407521013 2.68083702194964 2.56535979759547 4.15252024027161
"en" 2.61265580057526 2.29920978615117 2.51898598780618 2.13233768927608 2.51139188069594 2.40700218818381 2.33164717040784 2.47013894531567 2.31802381784899 2.14848158918589 2.09255487409397 1.98874222841116 2.75093584051536
"que" 2.38734419942474 2.1831331755882 2.4494598352765 2.64675378552168 2.17481358740679 2.35229759299781 2.23680050584888 2.39700983180304 1.66395853472922 1.93735144537837 1.71819350727672 1.75534940278895 1.54087229041525
"los" 1.71140939597315 1.81258091879102 1.49748636217777 1.65525824517735 2.16445733222867 2.14259664478483 2.10243439772368 2.30762980417648 1.64133363499866 1.6186644358576 1.70226323634833 1.72593013905505 3.85653347262122
"a" 1.61073825503356 1.74561364346623 1.47074553428174 1.64281269446173 1.45505385252693 1.71407731582786 1.8020866266203 1.88104330868611 1.36366441103272 1.50314039490632 1.66357543552223 1.62394335811089 1.31452946809437
"con" 1.32310642377756 1.28577168623599 1.33169322922238 1.41464426467538 1.29971002485501 1.62290299051787 1.50964274423016 1.59258958316405 1.58374298113906 1.69700832569812 1.70112535985344 1.7965363720164 1.08818664577348
"un" 1.2607861936721 1.20541095584624 1.40121938175206 1.29433727442439 1.04080364540182 1.2490882567469 1.33970913689535 1.43414317055334 1.37189164729838 1.31591177681286 1.28693831571521 1.5494145566517 1.13171411160442
"las" 1.63950143815916 1.24112683601947 1.41726387848968 1.1698817672682 1.79163214581607 1.32202771699489 1.39108441353146 1.1619403591452 1.19089244945392 1.22694498665498 1.12877348292616 1.13558358012827 2.80316879951249
"se" 1.03547459252157 1.03576052502344 0.935928976361108 0.962455922007882 1.23239436619718 1.2354121079504 1.44641163452419 1.40164134232551 1.20734692198523 1.46463238125589 1.35521090540833 1.2650283405574 1.93261948289371
"no" 1.02588686481304 0.66520826822626 0.796876671301744 1.07861439535366 0.574772162386081 0.888949671772429 0.952418589946254 1.04412123181929 1.09833604146527 1.23756788697234 1.18680518416531 1.38662796399082 0.470096630974145
