"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_GallardoEspanol" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.945950380112874 1.07111777151751 1.02528943834107 1.06644557598946 1.08044955103157 1.09790247096876 1.13510022621952 1.06432480803916 1.07772775561021 1.07823588881119 1.07602482586707 1.08793555375456 1.05741280544525 1.06819417975063 1.00836362958903 1.03776647617497
"Argensola_Isabela" 0.945950380112874 0 1.03997109284158 1.02085689534702 1.03396755012234 1.06869331414738 1.08986530337237 1.10625270505546 1.01468907546735 1.0833476949207 1.07453227795109 1.10049217652778 1.10677489387467 1.0900434856208 1.07494471397049 1.02274249333114 1.09312259216518
"Artieda_Amantes" 1.07111777151751 1.03997109284158 0 1.07522842577678 1.10441025484552 1.05167509181475 1.04618701929939 1.00791027025054 1.08562371129781 1.07824636069799 1.09612878780754 1.07674118076613 1.08656405620537 1.06663641245966 1.05234358356591 1.08605624109298 1.05620146756744
"Bermudez_Lastimosa" 1.02528943834107 1.02085689534702 1.07522842577678 0 0.85451483992504 1.08313437892345 1.10236195989554 1.11140100711471 1.07893980311739 1.09499056073515 1.09177824650552 1.11784158599588 1.09782728236273 1.09633851854005 1.06889839317147 1.05654023148616 1.04714297136172
"Bermudez_Laureada" 1.06644557598946 1.03396755012234 1.10441025484552 0.85451483992504 0 1.07893337525202 1.12234529390349 1.07284508246152 1.08178009139922 1.11125324120959 1.07575054219984 1.08707384539242 1.0644499034203 1.09270632036863 1.08468116883027 1.0415478765929 1.0707230809461
"Cervantes_CasaCelos" 1.08044955103157 1.06869331414738 1.05167509181475 1.08313437892345 1.07893337525202 0 0.933473509217408 0.942179918177721 0.970487698252545 1.06584092913822 1.12698196788906 1.1131261652301 1.12230479841737 1.08153223127554 1.03663865536014 1.09515834971815 1.07754947206568
"Cervantes_GallardoEspanol" 1.09790247096876 1.08986530337237 1.04618701929939 1.10236195989554 1.12234529390349 0.933473509217408 0 0.899088721943839 0.989077116768968 1.06159536503932 1.12101306801949 1.06384650309259 1.10685863249165 1.07514040567752 1.04188289557464 1.09664804621481 1.07840135463618
"Cervantes_Urdemalas" 1.13510022621952 1.10625270505546 1.00791027025054 1.11140100711471 1.07284508246152 0.942179918177721 0.899088721943839 0 1.02299722239045 1.06633288669199 1.12326459323204 1.11739289503615 1.07410812446674 1.0373902096458 1.06985231794754 1.07951512481557 1.07820433182694
"Duda_Jerusalem" 1.06432480803916 1.01468907546735 1.08562371129781 1.07893980311739 1.08178009139922 0.970487698252545 0.989077116768968 1.02299722239045 0 1.06828576527644 1.10608586414616 1.05846356264361 1.09024263824984 1.07956862617317 1.05804882019711 1.05729133870036 1.06765417446655
"JCueva_Infamador" 1.07772775561021 1.0833476949207 1.07824636069799 1.09499056073515 1.11125324120959 1.06584092913822 1.06159536503932 1.06633288669199 1.06828576527644 0 0.966392050059821 0.960745249482464 1.0793962113761 1.05311504788377 1.04296926337811 1.09886680808747 1.06913417823312
"JCueva_Principe" 1.07823588881119 1.07453227795109 1.09612878780754 1.09177824650552 1.07575054219984 1.12698196788906 1.12101306801949 1.12326459323204 1.10608586414616 0.966392050059821 0 0.968451799767998 0.949433181465793 1.07156523972579 1.09242169762472 1.08214879821922 1.09166530892617
"JCueva_Saco" 1.07602482586707 1.10049217652778 1.07674118076613 1.11784158599588 1.08707384539242 1.1131261652301 1.06384650309259 1.11739289503615 1.05846356264361 0.960745249482464 0.968451799767998 0 1.02589718620726 1.04954617483302 1.0803839628873 1.0964468641126 1.08684506570599
"Lasso_Constantinopla" 1.08793555375456 1.10677489387467 1.08656405620537 1.09782728236273 1.0644499034203 1.12230479841737 1.10685863249165 1.07410812446674 1.09024263824984 1.0793962113761 0.949433181465793 1.02589718620726 0 0.96291554278971 1.08897656202696 1.06993021349307 1.08238981140641
"Lasso_Dido.restaurada" 1.05741280544525 1.0900434856208 1.06663641245966 1.09633851854005 1.09270632036863 1.08153223127554 1.07514040567752 1.0373902096458 1.07956862617317 1.05311504788377 1.07156523972579 1.04954617483302 0.96291554278971 0 1.05516250457808 1.09328556325324 1.08009598041026
"Virues_Marcela" 1.06819417975063 1.07494471397049 1.05234358356591 1.06889839317147 1.08468116883027 1.03663865536014 1.04188289557464 1.06985231794754 1.05804882019711 1.04296926337811 1.09242169762472 1.0803839628873 1.08897656202696 1.05516250457808 0 0.999747945871687 1.01760182329871
"Virues_Semirámis" 1.00836362958903 1.02274249333114 1.08605624109298 1.05654023148616 1.0415478765929 1.09515834971815 1.09664804621481 1.07951512481557 1.05729133870036 1.09886680808747 1.08214879821922 1.0964468641126 1.06993021349307 1.09328556325324 0.999747945871687 0 0.94736166434109
"Virues_Tirano" 1.03776647617497 1.09312259216518 1.05620146756744 1.04714297136172 1.0707230809461 1.07754947206568 1.07840135463618 1.07820433182694 1.06765417446655 1.06913417823312 1.09166530892617 1.08684506570599 1.08238981140641 1.08009598041026 1.01760182329871 0.94736166434109 0
