"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_GallardoEspanol" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.927654644047738 1.0786963427191 1.02763802561044 1.07026669478561 1.08199274351643 1.11668732511784 1.14003467336066 1.06695831871158 1.08794589526117 1.07471240782784 1.09355719687493 1.0807948420021 1.06710202800269 1.06548481869642 1.00731080121921 1.0076288152031
"Argensola_Isabela" 0.927654644047738 0 1.02949852745952 1.00201438022704 1.03815691750107 1.074554505881 1.09967776467369 1.10569076345564 1.03789761797646 1.09043392354977 1.08320444940463 1.10836728000976 1.10767001263886 1.08854549595659 1.07283542043347 1.00807866534458 1.09416777787346
"Artieda_Amantes" 1.0786963427191 1.02949852745952 0 1.07401127900246 1.11742126401664 1.04511092571771 1.02135022105763 0.990524421530158 1.10625344755706 1.07949901113415 1.10999918779574 1.08664213104933 1.08422119204825 1.07546541097676 1.05383295543618 1.0761725497201 1.04310404418229
"Bermudez_Lastimosa" 1.02763802561044 1.00201438022704 1.07401127900246 0 0.814046741281607 1.08777415993626 1.12041449294004 1.10500272234676 1.09137943851367 1.10057175610786 1.08712605606307 1.13459583616105 1.11043048212594 1.10065805801259 1.08331595976294 1.07398307154378 1.05229840214983
"Bermudez_Laureada" 1.07026669478561 1.03815691750107 1.11742126401664 0.814046741281607 0 1.07520474997007 1.14914302134056 1.06835407453904 1.08988145598122 1.13122041223252 1.0782274583247 1.09728311899191 1.04623349457325 1.08104264215343 1.10247938464899 1.02808109761916 1.07555261959313
"Cervantes_CasaCelos" 1.08199274351643 1.074554505881 1.04511092571771 1.08777415993626 1.07520474997007 0 0.906200061019598 0.918605964887134 0.955080585661475 1.07032459201821 1.13855334347571 1.1218380555702 1.1480434214666 1.08839075962083 1.03650949068955 1.10444084346518 1.07473339384715
"Cervantes_GallardoEspanol" 1.11668732511784 1.09967776467369 1.02135022105763 1.12041449294004 1.14914302134056 0.906200061019598 0 0.852322826694542 0.961543711053172 1.07448057765228 1.14267740288693 1.07038065500244 1.09677869501058 1.07427945230593 1.04254025352501 1.10236642392513 1.09135512685298
"Cervantes_Urdemalas" 1.14003467336066 1.10569076345564 0.990524421530158 1.10500272234676 1.06835407453904 0.918605964887134 0.852322826694542 0 1.00688320607967 1.07203767173409 1.13919102836925 1.13612193836187 1.09376699491334 1.04366188079233 1.0532060133163 1.07746436141696 1.10043931516605
"Duda_Jerusalem" 1.06695831871158 1.03789761797646 1.10625344755706 1.09137943851367 1.08988145598122 0.955080585661475 0.961543711053172 1.00688320607967 0 1.06136216331271 1.11880905734945 1.04481899822314 1.08558750557751 1.07985245608067 1.04310151704945 1.063281727548 1.0644199148939
"JCueva_Infamador" 1.08794589526117 1.09043392354977 1.07949901113415 1.10057175610786 1.13122041223252 1.07032459201821 1.07448057765228 1.07203767173409 1.06136216331271 0 0.939062572205486 0.924260102875874 1.07368997579175 1.05442585407637 1.05298918432774 1.10653890438839 1.06860898562236
"JCueva_Principe" 1.07471240782784 1.08320444940463 1.10999918779574 1.08712605606307 1.0782274583247 1.13855334347571 1.14267740288693 1.13919102836925 1.11880905734945 0.939062572205486 0 0.951438407744431 0.919835544747454 1.05864098719165 1.11271530305248 1.08285104605541 1.10335841024606
"JCueva_Saco" 1.09355719687493 1.10836728000976 1.08664213104933 1.13459583616105 1.09728311899191 1.1218380555702 1.07038065500244 1.13612193836187 1.04481899822314 0.924260102875874 0.951438407744431 0 1.00314044972996 1.03625518156119 1.09456897270202 1.10454766981154 1.09586498112724
"Lasso_Constantinopla" 1.0807948420021 1.10767001263886 1.08422119204825 1.11043048212594 1.04623349457325 1.1480434214666 1.09677869501058 1.09376699491334 1.08558750557751 1.07368997579175 0.919835544747454 1.00314044972996 0 0.945966082452144 1.09691234443754 1.08244802973486 1.08496482541084
"Lasso_Dido.restaurada" 1.06710202800269 1.08854549595659 1.07546541097676 1.10065805801259 1.08104264215343 1.08839075962083 1.07427945230593 1.04366188079233 1.07985245608067 1.05442585407637 1.05864098719165 1.03625518156119 0.945966082452144 0 1.04551842134456 1.10187095652723 1.07307141943438
"Virues_Marcela" 1.06548481869642 1.07283542043347 1.05383295543618 1.08331595976294 1.10247938464899 1.03650949068955 1.04254025352501 1.0532060133163 1.04310151704945 1.05298918432774 1.11271530305248 1.09456897270202 1.09691234443754 1.04551842134456 0 0.979418448918587 1.01789070109259
"Virues_Semirámis" 1.00731080121921 1.00807866534458 1.0761725497201 1.07398307154378 1.02808109761916 1.10444084346518 1.10236642392513 1.07746436141696 1.063281727548 1.10653890438839 1.08285104605541 1.10454766981154 1.08244802973486 1.10187095652723 0.979418448918587 0 0.915018437194205
"Virues_Tirano" 1.0076288152031 1.09416777787346 1.04310404418229 1.05229840214983 1.07555261959313 1.07473339384715 1.09135512685298 1.10043931516605 1.0644199148939 1.06860898562236 1.10335841024606 1.09586498112724 1.08496482541084 1.07307141943438 1.01789070109259 0.915018437194205 0
