"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_GallardoEspanol" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.903497142907719 1.0896662596984 1.01782055249091 1.07933754214254 1.07297390613805 1.11341476702535 1.13860139135182 1.04358427884662 1.08895970498811 1.08949930523941 1.10793990558958 1.07371670697547 1.06964293085079 1.06522862976514 1.02560056803353 1.00220301838242
"Argensola_Isabela" 0.903497142907719 0 1.024484841859 0.978860699384726 1.03792858874977 1.08925171828996 1.10589169681129 1.12688773050079 1.05556714783699 1.09618813081846 1.08245280180234 1.1180124990228 1.07475124561187 1.09692343585113 1.07647493907443 0.986713069546065 1.08425265888615
"Artieda_Amantes" 1.0896662596984 1.024484841859 0 1.08542666407128 1.13523203973617 1.04232583908146 1.03114514159074 0.969275152042682 1.11611908096109 1.08054079466657 1.10651442264004 1.07794627651069 1.06972188040904 1.07883254564656 1.02699051268135 1.07224144454226 1.05121604533337
"Bermudez_Lastimosa" 1.01782055249091 0.978860699384726 1.08542666407128 0 0.756875970047307 1.08759640598266 1.1230680561238 1.11289283315835 1.1006651837882 1.10316025722579 1.09563988156191 1.15938500554413 1.12135184008643 1.11467856665777 1.10737687794452 1.07725665339858 1.05945019170204
"Bermudez_Laureada" 1.07933754214254 1.03792858874977 1.13523203973617 0.756875970047307 0 1.09637013468914 1.15171685857351 1.06497193991768 1.11116596728117 1.14312814997299 1.0715566813006 1.10730826688752 1.04298119769642 1.06861548157934 1.13502120826911 1.01376686036093 1.06058685875366
"Cervantes_CasaCelos" 1.07297390613805 1.08925171828996 1.04232583908146 1.08759640598266 1.09637013468914 0 0.854784252367145 0.92094294414598 0.914138494842129 1.06954723332402 1.16455588182964 1.12046421078357 1.16764921402465 1.09621751951345 1.02172435973342 1.1173281522793 1.06442987618184
"Cervantes_GallardoEspanol" 1.11341476702535 1.10589169681129 1.03114514159074 1.1230680561238 1.15171685857351 0.854784252367145 0 0.850944332652399 0.959608213954096 1.09114879242505 1.17018740723368 1.07270951717711 1.10580640150233 1.05608228286617 1.01683637855626 1.11848715664819 1.09120597190508
"Cervantes_Urdemalas" 1.13860139135182 1.12688773050079 0.969275152042682 1.11289283315835 1.06497193991768 0.92094294414598 0.850944332652399 0 0.9932865745741 1.06169606816882 1.15082583105401 1.12843377936854 1.09486493047127 1.03209356968417 1.04778848569565 1.08702698734126 1.09842246669703
"Duda_Jerusalem" 1.04358427884662 1.05556714783699 1.11611908096109 1.1006651837882 1.11116596728117 0.914138494842129 0.959608213954096 0.9932865745741 0 1.05161929528795 1.12941717267213 1.04270424215872 1.11716332910262 1.09166180102705 1.03667858105736 1.0423966200285 1.05223502702033
"JCueva_Infamador" 1.08895970498811 1.09618813081846 1.08054079466657 1.10316025722579 1.14312814997299 1.06954723332402 1.09114879242505 1.06169606816882 1.05161929528795 0 0.921288987443898 0.918590038430441 1.09092167030477 1.0486860920415 1.04529746400413 1.1132992473259 1.08845950986396
"JCueva_Principe" 1.08949930523941 1.08245280180234 1.10651442264004 1.09563988156191 1.0715566813006 1.16455588182964 1.17018740723368 1.15082583105401 1.12941717267213 0.921288987443898 0 0.944238051642291 0.891789724597333 1.06232997666919 1.14252057287445 1.07593949105801 1.10735804672641
"JCueva_Saco" 1.10793990558958 1.1180124990228 1.07794627651069 1.15938500554413 1.10730826688752 1.12046421078357 1.07270951717711 1.12843377936854 1.04270424215872 0.918590038430441 0.944238051642291 0 1.00348975474071 1.02977150797084 1.08277170739229 1.09476335590672 1.10456941902461
"Lasso_Constantinopla" 1.07371670697547 1.07475124561187 1.06972188040904 1.12135184008643 1.04298119769642 1.16764921402465 1.10580640150233 1.09486493047127 1.11716332910262 1.09092167030477 0.891789724597333 1.00348975474071 0 0.934464452934415 1.10314148876612 1.0825762617994 1.10160543876533
"Lasso_Dido.restaurada" 1.06964293085079 1.09692343585113 1.07883254564656 1.11467856665777 1.06861548157934 1.09621751951345 1.05608228286617 1.03209356968417 1.09166180102705 1.0486860920415 1.06232997666919 1.02977150797084 0.934464452934415 0 1.03318232226323 1.10525517766895 1.08069333854705
"Virues_Marcela" 1.06522862976514 1.07647493907443 1.02699051268135 1.10737687794452 1.13502120826911 1.02172435973342 1.01683637855626 1.04778848569565 1.03667858105736 1.04529746400413 1.14252057287445 1.08277170739229 1.10314148876612 1.03318232226323 0 0.975198537078508 1.00839031546521
"Virues_Semirámis" 1.02560056803353 0.986713069546065 1.07224144454226 1.07725665339858 1.01376686036093 1.1173281522793 1.11848715664819 1.08702698734126 1.0423966200285 1.1132992473259 1.07593949105801 1.09476335590672 1.0825762617994 1.10525517766895 0.975198537078508 0 0.904721361327985
"Virues_Tirano" 1.00220301838242 1.08425265888615 1.05121604533337 1.05945019170204 1.06058685875366 1.06442987618184 1.09120597190508 1.09842246669703 1.05223502702033 1.08845950986396 1.10735804672641 1.10456941902461 1.10160543876533 1.08069333854705 1.00839031546521 0.904721361327985 0
