"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_GallardoEspanol" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.942117998881503 1.07576000412592 1.03144619907163 1.0676631547297 1.08264267270608 1.1010915785923 1.1331515303795 1.07226289280174 1.07912098744313 1.07670125897272 1.0732504806686 1.08692972513245 1.06124855239119 1.0582196100715 1.01733254401451 1.01767298151876
"Argensola_Isabela" 0.942117998881503 0 1.03987012310874 1.01630885570084 1.03561669447051 1.07123103899261 1.09435944248462 1.1015492007686 1.02387888274586 1.07978224351583 1.07467023538044 1.10515330357112 1.10951800001659 1.09094013538135 1.0654124789771 1.0200108381644 1.09398026059743
"Artieda_Amantes" 1.07576000412592 1.03987012310874 0 1.07448008923017 1.10220522108308 1.04618431619663 1.03781883022943 1.01049098630899 1.09784342724876 1.07584435858123 1.10319200636729 1.0895410901669 1.08217829515491 1.06558666532711 1.05253855612273 1.0840614079589 1.05323527819097
"Bermudez_Lastimosa" 1.03144619907163 1.01630885570084 1.07448008923017 0 0.835734161426386 1.07671620968751 1.11177271657218 1.10796208398716 1.08768556443249 1.09715905348259 1.09088710301183 1.11981544887495 1.09816686275973 1.10278110465024 1.07515839903306 1.06090380386465 1.04879973478754
"Bermudez_Laureada" 1.0676631547297 1.03561669447051 1.10220522108308 0.835734161426386 0 1.07890177064872 1.13121838870388 1.07080325615304 1.0823339642172 1.1175120119362 1.07090425666008 1.09066319109157 1.06402647963517 1.09381943013308 1.09454793744268 1.0366499365562 1.06643389800147
"Cervantes_CasaCelos" 1.08264267270608 1.07123103899261 1.04618431619663 1.07671620968751 1.07890177064872 0 0.925906759450082 0.933669663727773 0.956425129982925 1.06976439282825 1.13340504535445 1.11356522640348 1.13708205211263 1.08034532915244 1.04516340277687 1.10357061648893 1.0796190639103
"Cervantes_GallardoEspanol" 1.1010915785923 1.09435944248462 1.03781883022943 1.11177271657218 1.13121838870388 0.925906759450082 0 0.878486398113385 0.973644889619944 1.06652208952546 1.13276778973703 1.06249236437603 1.09863112258411 1.07145280299947 1.04295896003792 1.10371377457106 1.08804081871414
"Cervantes_Urdemalas" 1.1331515303795 1.1015492007686 1.01049098630899 1.10796208398716 1.07080325615304 0.933669663727773 0.878486398113385 0 1.0166696042975 1.06970771793547 1.1285372567449 1.13264619128188 1.0780695370819 1.03606941708357 1.07019899169776 1.07560134895221 1.08913934239072
"Duda_Jerusalem" 1.07226289280174 1.02387888274586 1.09784342724876 1.08768556443249 1.0823339642172 0.956425129982925 0.973644889619944 1.0166696042975 0 1.06882676167445 1.11244263331102 1.05391483749496 1.09050391407765 1.07615915291844 1.05499630937234 1.05679533778634 1.06842271229682
"JCueva_Infamador" 1.07912098744313 1.07978224351583 1.07584435858123 1.09715905348259 1.1175120119362 1.06976439282825 1.06652208952546 1.06970771793547 1.06882676167445 0 0.957704751721709 0.949074322334943 1.07019783905497 1.05701013118359 1.05318812650561 1.10216079809314 1.07333757190202
"JCueva_Principe" 1.07670125897272 1.07467023538044 1.10319200636729 1.09088710301183 1.07090425666008 1.13340504535445 1.13276778973703 1.1285372567449 1.11244263331102 0.957704751721709 0 0.96136052047951 0.93409307654726 1.06957835461152 1.09633389445745 1.07956915128978 1.09807552450652
"JCueva_Saco" 1.0732504806686 1.10515330357112 1.0895410901669 1.11981544887495 1.09066319109157 1.11356522640348 1.06249236437603 1.13264619128188 1.05391483749496 0.949074322334943 0.96136052047951 0 1.02030387980254 1.04873429892408 1.08925387216392 1.10224059291049 1.08719869888025
"Lasso_Constantinopla" 1.08692972513245 1.10951800001659 1.08217829515491 1.09816686275973 1.06402647963517 1.13708205211263 1.09863112258411 1.0780695370819 1.09050391407765 1.07019783905497 0.93409307654726 1.02030387980254 0 0.963429068567056 1.0855470015382 1.07630265751611 1.08193609657818
"Lasso_Dido.restaurada" 1.06124855239119 1.09094013538135 1.06558666532711 1.10278110465024 1.09381943013308 1.08034532915244 1.07145280299947 1.03606941708357 1.07615915291844 1.05701013118359 1.06957835461152 1.04873429892408 0.963429068567056 0 1.05745668337872 1.08806139276069 1.07722737709636
"Virues_Marcela" 1.0582196100715 1.0654124789771 1.05253855612273 1.07515839903306 1.09454793744268 1.04516340277687 1.04295896003792 1.07019899169776 1.05499630937234 1.05318812650561 1.09633389445745 1.08925387216392 1.0855470015382 1.05745668337872 0 0.990518724908968 1.00992049899269
"Virues_Semirámis" 1.01733254401451 1.0200108381644 1.0840614079589 1.06090380386465 1.0366499365562 1.10357061648893 1.10371377457106 1.07560134895221 1.05679533778634 1.10216079809314 1.07956915128978 1.10224059291049 1.07630265751611 1.08806139276069 0.990518724908968 0 0.927637276758453
"Virues_Tirano" 1.01767298151876 1.09398026059743 1.05323527819097 1.04879973478754 1.06643389800147 1.0796190639103 1.08804081871414 1.08913934239072 1.06842271229682 1.07333757190202 1.09807552450652 1.08719869888025 1.08193609657818 1.07722737709636 1.00992049899269 0.927637276758453 0
