"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_GallardoEspanol" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.880917070589718 1.10907738268086 0.983791535284927 1.04741450517792 1.0912448187134 1.1183381781716 1.16207060079514 1.04599317341051 1.08288065896942 1.06608553181888 1.10095445837212 1.07655267311914 1.08840776677867 1.11309272791738 1.03657412489349 0.967817397131945
"Argensola_Isabela" 0.880917070589718 0 1.017240912249 0.976729794712681 1.03739819857398 1.10782191477065 1.08825082633388 1.11561999822882 1.03031035454648 1.0868185070477 1.06165574886191 1.10783403355264 1.07962040290513 1.12337485608635 1.11685501957243 1.02210646050094 1.07596777747778
"Artieda_Amantes" 1.10907738268086 1.017240912249 0 1.11474931891464 1.17382660294307 1.01914737151572 0.98723936751916 0.877876411495746 1.11182416397937 1.084766870823 1.12229496387943 1.09426547050619 1.06757896870631 1.08254346685391 0.99931710320792 1.09030013896129 1.05997286079765
"Bermudez_Lastimosa" 0.983791535284927 0.976729794712681 1.11474931891464 0 0.683342328797078 1.09380395598372 1.16686626910682 1.15290411537101 1.09366587948506 1.10738457720019 1.11819503567104 1.19298760117954 1.12523574812102 1.1451698948038 1.1325921522029 1.05701691569124 1.06473190655719
"Bermudez_Laureada" 1.04741450517792 1.03739819857398 1.17382660294307 0.683342328797078 0 1.13505117922153 1.19004812297692 1.07463437660552 1.13800270278299 1.1750920295509 1.06156458200711 1.11295922460735 1.03564974043204 1.08102678199335 1.18467304271034 1.01088234265502 1.05688612099087
"Cervantes_CasaCelos" 1.0912448187134 1.10782191477065 1.01914737151572 1.09380395598372 1.13505117922153 0 0.822771967641871 0.870673166743827 0.866335120449637 1.03327618557113 1.19669902084195 1.09797988287039 1.18240520577823 1.11186794344242 0.977225420123941 1.1314720266429 1.06295692498179
"Cervantes_GallardoEspanol" 1.1183381781716 1.08825082633388 0.98723936751916 1.16686626910682 1.19004812297692 0.822771967641871 0 0.832740154503163 0.898480970627239 1.05794786572499 1.19924705762506 1.02879078009708 1.13281133907316 1.05964259908294 1.00338107058035 1.15616210511562 1.11386020710855
"Cervantes_Urdemalas" 1.16207060079514 1.11561999822882 0.877876411495746 1.15290411537101 1.07463437660552 0.870673166743827 0.832740154503163 0 0.952841750622637 1.07658885759029 1.18567346792691 1.154328071193 1.07445763258062 1.02779789804072 0.989846845060555 1.1024479274711 1.12947274871937
"Duda_Jerusalem" 1.04599317341051 1.03031035454648 1.11182416397937 1.09366587948506 1.13800270278299 0.866335120449637 0.898480970627239 0.952841750622637 0 1.08098423968657 1.1952820872558 1.03385722720449 1.1601706997446 1.10446805344417 0.981532217230334 1.07957217291821 1.04946432567932
"JCueva_Infamador" 1.08288065896942 1.0868185070477 1.084766870823 1.10738457720019 1.1750920295509 1.03327618557113 1.05794786572499 1.07658885759029 1.08098423968657 0 0.909246612140359 0.900862126901248 1.10722522606241 1.04466710948151 1.02586455713894 1.12554273035731 1.08446859885227
"JCueva_Principe" 1.06608553181888 1.06165574886191 1.12229496387943 1.11819503567104 1.06156458200711 1.19669902084195 1.19924705762506 1.18567346792691 1.1952820872558 0.909246612140359 0 0.918678654245934 0.880625465452204 1.00380485271117 1.18064298979627 1.05082646329041 1.10172378654162
"JCueva_Saco" 1.10095445837212 1.10783403355264 1.09426547050619 1.19298760117954 1.11295922460735 1.09797988287039 1.02879078009708 1.154328071193 1.03385722720449 0.900862126901248 0.918678654245934 0 1.00651053806704 1.0337002597145 1.111746758425 1.12057460342991 1.11568301799166
"Lasso_Constantinopla" 1.07655267311914 1.07962040290513 1.06757896870631 1.12523574812102 1.03564974043204 1.18240520577823 1.13281133907316 1.07445763258062 1.1601706997446 1.10722522606241 0.880625465452204 1.00651053806704 0 0.853488382422933 1.10589574899748 1.07851320514066 1.10552014316863
"Lasso_Dido.restaurada" 1.08840776677867 1.12337485608635 1.08254346685391 1.1451698948038 1.08102678199335 1.11186794344242 1.05964259908294 1.02779789804072 1.10446805344417 1.04466710948151 1.00380485271117 1.0337002597145 0.853488382422933 0 1.06496145047056 1.03361951387057 1.09822495443999
"Virues_Marcela" 1.11309272791738 1.11685501957243 0.99931710320792 1.1325921522029 1.18467304271034 0.977225420123941 1.00338107058035 0.989846845060555 0.981532217230334 1.02586455713894 1.18064298979627 1.111746758425 1.10589574899748 1.06496145047056 0 0.931390054865978 0.995409569130281
"Virues_Semirámis" 1.03657412489349 1.02210646050094 1.09030013896129 1.05701691569124 1.01088234265502 1.1314720266429 1.15616210511562 1.1024479274711 1.07957217291821 1.12554273035731 1.05082646329041 1.12057460342991 1.07851320514066 1.03361951387057 0.931390054865978 0 0.892115597184276
"Virues_Tirano" 0.967817397131945 1.07596777747778 1.05997286079765 1.06473190655719 1.05688612099087 1.06295692498179 1.11386020710855 1.12947274871937 1.04946432567932 1.08446859885227 1.10172378654162 1.11568301799166 1.10552014316863 1.09822495443999 0.995409569130281 0.892115597184276 0
