,Source,Target,Weight,Type
1,ne0012,ne0014,6,undirected
2,ne0012,ne0015,4,undirected
3,ne0012,ne0025,2,undirected
4,ne0013,ne0014,1,undirected
5,ne0013,ne0015,1,undirected
6,ne0013,ne0016,6,undirected
7,ne0013,ne0017,2,undirected
8,ne0013,ne0018,2,undirected
9,ne0013,ne0025,4,undirected
10,ne0014,ne0012,6,undirected
11,ne0014,ne0013,1,undirected
12,ne0014,ne0016,3,undirected
13,ne0014,ne0018,1,undirected
14,ne0014,ne0023,2,undirected
15,ne0015,ne0012,4,undirected
16,ne0015,ne0013,1,undirected
17,ne0015,ne0017,4,undirected
18,ne0015,ne0020,2,undirected
19,ne0015,ne0025,6,undirected
20,ne0016,ne0013,6,undirected
21,ne0016,ne0014,3,undirected
22,ne0016,ne0018,5,undirected
23,ne0017,ne0013,2,undirected
24,ne0017,ne0015,4,undirected
25,ne0017,ne0020,1,undirected
26,ne0017,ne0021,2,undirected
27,ne0017,ne0023,1,undirected
28,ne0017,ne0037,2,undirected
29,ne0018,ne0013,2,undirected
30,ne0018,ne0014,1,undirected
31,ne0018,ne0016,5,undirected
32,ne0018,ne0022,1,undirected
33,ne0020,ne0015,2,undirected
34,ne0020,ne0017,1,undirected
35,ne0020,ne0021,5,undirected
36,ne0020,ne0022,2,undirected
37,ne0021,ne0017,2,undirected
38,ne0021,ne0020,5,undirected
39,ne0021,ne0022,6,undirected
40,ne0021,ne0037,1,undirected
41,ne0022,ne0018,1,undirected
42,ne0022,ne0020,2,undirected
43,ne0022,ne0021,6,undirected
44,ne0023,ne0014,2,undirected
45,ne0023,ne0017,1,undirected
46,ne0023,ne0037,6,undirected
47,ne0025,ne0012,2,undirected
48,ne0025,ne0013,4,undirected
49,ne0025,ne0015,6,undirected
50,ne0030,ne0033,2,undirected
51,ne0030,ne0035,4,undirected
52,ne0030,ne0036,3,undirected
53,ne0033,ne0030,2,undirected
54,ne0033,ne0035,6,undirected
55,ne0033,ne0036,4,undirected
56,ne0035,ne0030,4,undirected
57,ne0035,ne0033,6,undirected
58,ne0035,ne0036,5,undirected
59,ne0036,ne0030,3,undirected
60,ne0036,ne0033,4,undirected
61,ne0036,ne0035,5,undirected
62,ne0037,ne0017,2,undirected
63,ne0037,ne0021,1,undirected
64,ne0037,ne0023,6,undirected
