"ne0012" "ne0013" "ne0014" "ne0015" "ne0016" "ne0017" "ne0018" "ne0020" "ne0021" "ne0022" "ne0023" "ne0025" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037"
"de" 5.67871573659495 4.77948226270374 5.41988481628644 5.29989577082215 4.90426783613221 5.17812758906379 4.87865588052271 4.91885485047411 4.64748656338919 4.69245145039408 6.63870581186339 5.04027868495537 5.14613628416874 5.22248336852169 5.75993081710911 5.47786690725087 6.61617480630278
"la" 3.9496195988497 3.55225311601151 4.02696548953078 4.59555920533148 3.92020536955824 4.76387738193869 3.72121966397013 4.71371261852662 4.52102434397724 3.97741122938165 4.63351308168564 4.07141301981276 4.45710524691993 4.43506088249744 4.53329995562282 4.16576774471924 4.62261687124576
"el" 2.65370754613957 2.68935762224353 2.84834144381446 3.19320299422002 2.92009840624666 3.69200497100249 2.78365484339349 3.62417943107221 4.11792601960164 3.49394653449257 4.07429598562013 3.04267363379055 4.15681112322343 4.13761967361139 4.15324920633114 3.84411712789535 3.42996430747802
"y" 3.723927050344 3.79194630872483 4.21000937541855 3.70171504374467 3.8827682105038 3.99233637116819 3.3146650072599 3.63785557986871 3.4539993676889 3.34768830746729 3.74276013580987 3.50533420422382 2.90421440177708 2.93590407521013 2.68083702194964 2.56535979759547 4.15252024027161
"en" 2.16228022278039 2.61265580057526 2.29920978615117 2.41306339029089 2.51898598780618 2.51139188069594 2.13233768927608 2.40700218818381 2.33164717040784 2.47013894531567 3.30736968244458 2.14456782059656 2.31802381784899 2.14848158918589 2.09255487409397 1.98874222841116 2.75093584051536
"que" 2.90488151141203 2.38734419942474 2.1831331755882 2.29304191276334 2.4494598352765 2.17481358740679 2.64675378552168 2.35229759299781 2.23680050584888 2.39700983180304 2.22089075294588 2.30785978663183 1.66395853472922 1.93735144537837 1.71819350727672 1.75534940278895 1.54087229041525
"los" 1.62717047067817 1.71140939597315 1.81258091879102 1.73715296421465 1.49748636217777 2.16445733222867 1.65525824517735 2.14259664478483 2.10243439772368 2.30762980417648 2.12103055721989 1.83975615066405 1.64133363499866 1.6186644358576 1.70226323634833 1.72593013905505 3.85653347262122
"a" 1.91474645990317 1.61073825503356 1.74561364346623 1.82243138245791 1.47074553428174 1.45505385252693 1.64281269446173 1.71407731582786 1.8020866266203 1.88104330868611 0.938685839824246 1.45874156324842 1.36366441103272 1.50314039490632 1.66357543552223 1.62394335811089 1.31452946809437
"con" 1.28863164791962 1.32310642377756 1.28577168623599 1.37708853163198 1.33169322922238 1.29971002485501 1.41464426467538 1.62290299051787 1.50964274423016 1.59258958316405 0.894747353704813 1.44241236664489 1.58374298113906 1.69700832569812 1.70112535985344 1.7965363720164 1.08818664577348
"las" 1.13574314731899 1.63950143815916 1.24112683601947 1.37708853163198 1.41726387848968 1.79163214581607 1.1698817672682 1.32202771699489 1.39108441353146 1.1619403591452 2.4166167365688 1.36076638362726 1.19089244945392 1.22694498665498 1.12877348292616 1.13558358012827 2.80316879951249
"un" 1.24130901678133 1.2607861936721 1.20541095584624 1.26654243390923 1.40121938175206 1.04080364540182 1.29433727442439 1.2490882567469 1.33970913689535 1.43414317055334 1.05052925903735 1.24646200740257 1.37189164729838 1.31591177681286 1.28693831571521 1.5494145566517 1.13171411160442
"se" 1.17214517127152 1.03547459252157 1.03576052502344 1.26022551403935 0.935928976361108 1.23239436619718 0.962455922007882 1.2354121079504 1.44641163452419 1.40164134232551 1.13441182344717 1.13760069671239 1.20734692198523 1.46463238125589 1.35521090540833 1.2650283405574 1.93261948289371
"del" 0.851807360489243 0.882070949185043 0.754497968659315 0.985439499699946 0.754091346668093 1.18061309030655 0.709396390790292 1.3083515681984 1.0946885867847 1.00349394653449 1.86538845616137 0.8436751578489 1.2464262942471 1.07424079459294 1.12649772993639 1.01202267244592 1.06207016627492
"no" 1.1503039569 1.02588686481304 0.66520826822626 0.818041123148353 0.796876671301744 0.574772162386081 1.07861439535366 0.888949671772429 0.952418589946254 1.04412123181929 0.467345715997603 1.0831700413673 1.09833604146527 1.23756788697234 1.18680518416531 1.38662796399082 0.470096630974145
"una" 0.950092825161079 0.920421860019175 0.821465243984106 0.966488740090332 1.04824045352444 0.952775476387738 0.954158888197469 1.01659372720642 1.0946885867847 0.975054846835134 0.954663471140403 0.680383191813629 0.93790493428495 0.879045001261469 0.843166482709967 1.01202267244592 0.992426220945417
"por" 0.709839467074369 0.690316395014382 0.656279298182955 0.884368781782003 0.684565194138411 0.999378624689312 0.734287492221531 0.720277169948942 0.841764147960797 0.845047533923783 0.830836828440184 0.653167864141084 0.742508072975586 0.759537372691179 0.771480263532196 0.715868750858062 0.887960302951162
"al" 0.61883440719304 0.627996164908917 0.750033483637662 0.669593506206374 0.70060969087603 0.921706710853355 0.672059738643435 0.761305616338439 0.984034144799241 0.698789306898513 0.419412822049131 0.78924450250381 0.658178901252597 0.569653029518384 0.732792462706098 0.678604350128464 0.687733960128841
"su" 0.76808270539842 0.743048897411314 0.549131657663289 0.723287325100281 0.684565194138411 0.631731565865783 0.64302012030699 0.647337709700948 0.549320265570661 0.686601121313074 0.651088476133413 0.745699978227738 0.703428700713713 0.638701881581219 0.578041259401705 0.429521250514837 0.356925219813702
"me" 0.495067525754432 0.953978906999041 0.830394214027412 0.612741227377531 1.02149962562841 0.134631317315659 1.27774320680357 0.259846827133479 0.260828327537148 0.410335581376452 0.327541441981226 0.462660570433268 0.612929101791481 0.529817153328287 0.489286892800655 0.607998117167121 0.12187690432663
"le" 0.4586655018019 0.417066155321189 0.339300861645609 0.420075171346451 0.32088993475238 0.315865782932891 0.510267579340386 0.547045951859956 0.553272209927284 0.755667506297229 0.0479328939484721 0.462660570433268 0.528599930068492 0.467407613963802 0.609901801258491 0.713907466609136 0.147993383825194
"para" 0.345819227549052 0.426653883029722 0.397339166927095 0.41375825147658 0.390416087282062 0.476387738193869 0.468782410288322 0.565280816921955 0.644166930129624 0.544405622816283 0.519273017775115 0.419116046157196 0.475122894341718 0.521849978090268 0.530250446616524 0.527585462961147 0.304692260816575
"es" 0.313057405991773 0.292425695110259 0.245546676190901 0.271627554404472 0.192533960851428 0.19159072079536 0.510267579340386 0.351021152443472 0.335915270312994 0.325018282278378 0.810864789294987 0.28303940779447 0.41958904954853 0.589570967613433 0.589420024350557 0.713907466609136 0.348219726647515
"lo" 0.407702668268356 0.330776605944391 0.294656011429082 0.363222892517608 0.443897743074126 0.367647058823529 0.394109105994607 0.510576221735959 0.644166930129624 0.552531079873243 0.411424006391053 0.457217504898759 0.364055204755343 0.515210665391919 0.513182299193246 0.531508031458999 0.200226342822321
"como" 0.680717847912344 0.671140939597315 0.656279298182955 0.527462809134266 0.663172531821585 0.626553438276719 0.676208255548641 0.469547775346462 0.430761934871957 0.499715609003006 0.894747353704813 0.511648160243849 0.25915794236821 0.293457621267046 0.242367693410557 0.325573185321749 0.391747192478454
"mi" 0.276655382039241 0.536912751677852 0.656279298182955 0.669593506206374 0.791528505722537 0.124275062137531 0.692802323169467 0.305433989788476 0.225260828327537 0.207199154952466 0.391451967245856 0.473546701502286 0.376396059153829 0.24432670729926 0.252608581864524 0.286347500343225 0.0435274658309393
"sus" 0.444104692220887 0.570469798657718 0.482164382338497 0.445342850825937 0.58295004813349 0.611019055509528 0.373366521468575 0.268964259664478 0.193645273474549 0.243763711708784 0.499300978629918 0.50620509470934 0.29206688743084 0.268228233013318 0.25602221134918 0.300076490085708 0.443980151475581
"sobre" 0.349459429944305 0.508149568552253 0.428590562078664 0.432709011086194 0.358327093806824 0.455675227837614 0.215722879070732 0.319110138584974 0.387290546949099 0.255951897294223 0.239664469742361 0.386457652950142 0.343487114091199 0.302752659044736 0.25602221134918 0.298115205836782 0.696439453295029
"yo" 0.243893560481963 0.666347075743049 0.629492388053038 0.372698272322416 0.796876671301744 0.10874067937034 0.883634100808961 0.319110138584974 0.241068605754031 0.239700983180304 0.175753944477731 0.342913128674069 0.150147061848249 0.204490831109164 0.159302709283934 0.15494145566517 0.0261164794985636
"ojos" 0.367660441920571 0.441035474592522 0.366087771775526 0.401124411736837 0.454594074232538 0.367647058823529 0.456336859572703 0.341903719912473 0.395194435662346 0.349394653449257 0.299580587177951 0.500762029174831 0.133692589316934 0.167310679998407 0.143372438355541 0.270657226351815 0.24375380865326
"usted" 0.30941720359652 0.0287631831255992 0.0223224251082638 0.0536938188939073 0 0 0.1949802945447 0.0455871626549964 0.0869427758457161 0.190948240838547 0 0.119747441759199 0.394907340751558 0.349227847933182 0.491562645790426 0.760978288583364 0.0174109863323757
"si" 0.302136798806014 0.210930009587728 0.223224251082638 0.230567575250308 0.240667451064285 0.170878210439105 0.273802115743622 0.273522975929978 0.284539993676889 0.243763711708784 0.127821050529259 0.321140866536033 0.228305806371994 0.326654184758794 0.244643446400328 0.296153921587856 0.0870549316618787
"don" 0.174729714972152 0.292425695110259 0.0133934550649583 0.183190676226272 0.0106963311584127 0.0103562551781276 0.215722879070732 0.287199124726477 0.162029718621562 0.434711952547331 0.0359496704613541 0.0163291966035271 0.318805405294227 0.213785868886853 0.450599091974557 0.388334281287387 0
"sin" 0.334898620363292 0.273250239693193 0.312513951515693 0.277944474274344 0.32088993475238 0.155343827671914 0.215722879070732 0.196024799416484 0.248972494467278 0.264077354351182 0.235670061913321 0.239494883518398 0.189226434110122 0.228392356823222 0.241229816915672 0.26281208935611 0.182815356489945
"más" 0.327618215572786 0.215723873441994 0.218759766060985 0.173715296421465 0.21927478874746 0.160521955260978 0.224019912881145 0.209700948212983 0.177837496048056 0.170634598196149 0.343519073297384 0.217722621380361 0.310578169028569 0.264244645394309 0.251470705369639 0.247121815364701 0.147993383825194
"qué" 0.232972953296203 0.340364333652924 0.169650430822805 0.230567575250308 0.246015616643491 0.15016570008285 0.302841734080066 0.173231218088986 0.252924438823901 0.276265539936621 0.0439384861194328 0.315697801001524 0.234476233571238 0.297441208886056 0.248057075884983 0.241237962617922 0.12187690432663
"era" 0.342179025153799 0.397890699904123 0.339300861645609 0.375856732257351 0.363675259386031 0.248550124275062 0.331881352416511 0.36925601750547 0.252924438823901 0.29251645405054 0.179748352306771 0.244937949052907 0.150147061848249 0.172622130157086 0.154751203304393 0.117677054935572 0.00870549316618786
"pero" 0.364020239525318 0.177372962607862 0.142863520692888 0.214775275575629 0.251363782222698 0.124275062137531 0.273802115743622 0.237053245805981 0.213404995257667 0.320955553749898 0.259636508887557 0.250381014587416 0.187169625043707 0.224408769204212 0.201404139594688 0.219663835879734 0.104465917994254
"ha" 0.123766881438608 0.0335570469798658 0.0803607303897495 0.126338397397429 0.139052305059365 0.0517812758906379 0.190831777639494 0.100291757840992 0.0632311097059753 0.117819127325912 0.11983223487118 0.119747441759199 0.215964951973508 0.333293497457143 0.384602255271213 0.378527860042756 0.104465917994254
"muy" 0.222052346110444 0.153403643336529 0.142863520692888 0.173715296421465 0.112311477163333 0.134631317315659 0.132752540966604 0.200583515681984 0.177837496048056 0.365645567563175 0.0359496704613541 0.16873503156978 0.25915794236821 0.24963815745794 0.245781322895213 0.164747876909801 0.0696439453295029
"señor" 0.0655236431145572 0.158197507190796 0.22768873610429 0.287419854079151 0.192533960851428 0.357290803645402 0.29869321717486 0.264405543398979 0.0987986089155865 0.109693670268953 0.0199720391451967 0.141519703897235 0.156317489047492 0.12747480380831 0.254884334854295 0.137289897424834 0.0174109863323757
"te" 0.182010119762659 0.273250239693193 0.035715880173222 0.138972237137172 0.0748743181088887 0.124275062137531 0.170089193113462 0.159555069292487 0.150173885551691 0.174697326724628 0.011983223487118 0.326583932070542 0.234476233571238 0.24299884475959 0.171819350727672 0.217702551630808 0.0261164794985636
"cuando" 0.189290524553165 0.268456375838926 0.312513951515693 0.233726035185244 0.288800941277142 0.217481358740679 0.269653598838415 0.191466083150985 0.209453050901043 0.211261883480946 0.36349111244258 0.157848900500762 0.100783644254304 0.1234912161893 0.0898922430959344 0.0607998117167121 0.104465917994254
"ya" 0.192930726948418 0.258868648130393 0.191972855931068 0.192666056031079 0.197882126430634 0.170878210439105 0.25305953121759 0.159555069292487 0.241068605754031 0.186885512310067 0.0998601957259836 0.239494883518398 0.0925564079886464 0.163327092379397 0.147923944335082 0.117677054935572 0.104465917994254
"dos" 0.120126679043355 0.26366251198466 0.183043885887763 0.123179937462493 0.176489464113809 0.222659486329743 0.207425845260319 0.209700948212983 0.237116661397408 0.162509141139189 0.0838825644098262 0.195950359242325 0.109010880519961 0.176605717776096 0.146786067840197 0.12356090768235 0.304692260816575
"entre" 0.145608095810127 0.167785234899329 0.218759766060985 0.157922996746786 0.128355973900952 0.139809444904722 0.0871188550093342 0.164113785557987 0.189693329117926 0.215324612009426 0.0758937487517476 0.212279555845852 0.14603344371542 0.12614694126864 0.121752784952721 0.160825308411948 0.2872812744842
