"ne0012" "ne0013" "ne0014" "ne0015" "ne0016" "ne0017" "ne0018" "ne0020" "ne0021" "ne0022" "ne0023" "ne0025" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037"
"ne0012" 0 1.01329758579147 0.805001484484564 0.908280940732655 1.03161514443695 1.12015592506554 1.04849731173526 1.1184443593055 1.15738001921883 1.12044291910856 1.0685039782915 0.928562525728383 1.11231909047541 1.10747216588788 1.11980406211006 1.07594273483407 1.12289474716144
"ne0013" 1.01329758579147 0 0.975179868322533 0.9282025248095 0.890612501051651 0.973882860357366 0.978217933457929 1.04358145506695 1.07312826277728 1.0603660461854 1.10090557070176 0.910015545508739 1.20538202684225 1.20707861562195 1.23699359308545 1.2122615254237 1.11410297650979
"ne0014" 0.805001484484564 0.975179868322533 0 1.05409421904863 0.936396597848699 1.03260492154694 0.994200525837059 1.08753997385995 1.10293758870098 1.13587080426888 1.01977791974539 0.992736627401458 1.13659880472199 1.2052061362125 1.20671655290025 1.15725925383384 1.06438461011651
"ne0015" 0.908280940732655 0.9282025248095 1.05409421904863 0 0.981795344184162 0.912705992650358 1.04626005359276 0.980227814039105 1.0180902338444 1.04480783244373 1.10295117119812 0.896264440414662 1.20106562092443 1.17101096923547 1.20964004791957 1.21938764419998 1.10556318465133
"ne0016" 1.03161514443695 0.890612501051651 0.936396597848699 0.981795344184162 0 1.02114576629678 0.911550118312844 1.06702966998765 1.10768371798274 1.0916685183126 1.04764729959855 0.975580158051991 1.17746453028103 1.2043864230727 1.20820590128726 1.20967166387965 1.12336750618714
"ne0017" 1.12015592506554 0.973882860357366 1.03260492154694 0.912705992650358 1.02114576629678 0 1.10713543569189 0.987340984467305 0.979927096970828 1.06315564693105 1.03272546063176 1.01791806165124 1.16453038998569 1.19390283615177 1.21882567953299 1.22184350960036 0.980736145767564
"ne0018" 1.04849731173526 0.978217933457929 0.994200525837059 1.04626005359276 0.911550118312844 1.10713543569189 0 1.03184226233353 1.03944448865029 1.02447181169881 1.09993877197719 1.02179225207939 1.14234542371377 1.09049632554282 1.12557709680166 1.11241703053018 1.13085043665454
"ne0020" 1.1184443593055 1.04358145506695 1.08753997385995 0.980227814039105 1.06702966998765 0.987340984467305 1.03184226233353 0 0.938937670660184 0.994192952443385 1.09820592061718 1.07869326355496 1.1012833848517 1.08777199955869 1.10385254722804 1.10645893114952 1.07682403248712
"ne0021" 1.15738001921883 1.07312826277728 1.10293758870098 1.0180902338444 1.10768371798274 0.979927096970828 1.03944448865029 0.938937670660184 0 0.827568354013699 1.14599070923467 1.07210775361325 1.09828365469726 1.08455084700857 1.11454475459842 1.11269986453498 1.02827295294619
"ne0022" 1.12044291910856 1.0603660461854 1.13587080426888 1.04480783244373 1.0916685183126 1.06315564693105 1.02447181169881 0.994192952443385 0.827568354013699 0 1.10579955292659 1.08276325693964 1.05539289400091 1.07695778211486 1.08249154066173 1.07834554815656 1.05084319652007
"ne0023" 1.0685039782915 1.10090557070176 1.01977791974539 1.10295117119812 1.04764729959855 1.03272546063176 1.09993877197719 1.09820592061718 1.14599070923467 1.10579955292659 0 1.12987578263379 1.04322646202113 1.11626448901158 1.11690667796266 1.0976139826708 0.918215693914171
"ne0025" 0.928562525728383 0.910015545508739 0.992736627401458 0.896264440414662 0.975580158051991 1.01791806165124 1.02179225207939 1.07869326355496 1.07210775361325 1.08276325693964 1.12987578263379 0 1.16918920354858 1.15213018252206 1.17847634251409 1.16711807393885 1.1372273136279
"ne0030" 1.11231909047541 1.20538202684225 1.13659880472199 1.20106562092443 1.17746453028103 1.16453038998569 1.14234542371377 1.1012833848517 1.09828365469726 1.05539289400091 1.04322646202113 1.16918920354858 0 0.832985873363323 0.803082894907054 0.815698824671713 1.04303503201114
"ne0033" 1.10747216588788 1.20707861562195 1.2052061362125 1.17101096923547 1.2043864230727 1.19390283615177 1.09049632554282 1.08777199955869 1.08455084700857 1.07695778211486 1.11626448901158 1.15213018252206 0.832985873363323 0 0.574353207184302 0.781217938944325 1.13575504668047
"ne0035" 1.11980406211006 1.23699359308545 1.20671655290025 1.20964004791957 1.20820590128726 1.21882567953299 1.12557709680166 1.10385254722804 1.11454475459842 1.08249154066173 1.11690667796266 1.17847634251409 0.803082894907054 0.574353207184302 0 0.658409751587961 1.11812673967987
"ne0036" 1.07594273483407 1.2122615254237 1.15725925383384 1.21938764419998 1.20967166387965 1.22184350960036 1.11241703053018 1.10645893114952 1.11269986453498 1.07834554815656 1.0976139826708 1.16711807393885 0.815698824671713 0.781217938944325 0.658409751587961 0 1.09591961653523
"ne0037" 1.12289474716144 1.11410297650979 1.06438461011651 1.10556318465133 1.12336750618714 0.980736145767564 1.13085043665454 1.07682403248712 1.02827295294619 1.05084319652007 0.918215693914171 1.1372273136279 1.04303503201114 1.13575504668047 1.11812673967987 1.09591961653523 0
