"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.917354245053278 1.08956851871804 1.04010684170759 1.08154535112636 1.11468599589743 1.02355232214644 1.08526678064854 1.08391499646252 1.09910689642762 1.11024667404612 1.09179685033771 1.0828182844417 1.08828935520203 1.04440614094944 1.01896856968884
"Argensola_Isabela" 0.917354245053278 0 1.02992072087211 0.986010659799026 1.05030523585707 1.09511271198056 1.07221561381545 1.05693453764279 1.08870425263995 1.10780845655223 1.13804871262086 1.09745618004815 1.10533395066069 1.09602609305195 0.999160488484909 1.07704928750085
"Artieda_Amantes" 1.08956851871804 1.02992072087211 0 1.08146240490899 1.13911578114404 0.997244331390253 1.12808713250952 1.05031477113628 1.07883140028437 1.11655976715097 1.07309604779103 1.07685523695165 1.06408815338636 1.02494703462384 1.06471562235407 1.04222462856974
"Bermudez_Lastimosa" 1.04010684170759 0.986010659799026 1.08146240490899 0 0.775477820438107 1.11760669556228 1.07287927751831 1.06561707450061 1.11007483634871 1.11134053503038 1.1674268144048 1.13901327581753 1.13666552781284 1.10049460909032 1.08407530131784 1.07277367980798
"Bermudez_Laureada" 1.08154535112636 1.05030523585707 1.13911578114404 0.775477820438107 0 1.14356117694138 1.09220098990403 1.05470953849448 1.15111890899058 1.07689958003832 1.10984293276532 1.05835354704507 1.07759004047057 1.13811308881188 1.02349000818503 1.07037253472149
"Cervantes_GallardoEspanol" 1.11468599589743 1.09511271198056 0.997244331390253 1.11760669556228 1.14356117694138 0 0.986174214445447 0.879734397140268 1.06462891430733 1.16851450286438 1.06561653242223 1.09322060093163 1.04858780687665 0.996270442173373 1.09190768706515 1.06671048086845
"Cervantes_Numancia" 1.02355232214644 1.07221561381545 1.12808713250952 1.07287927751831 1.09220098990403 0.986174214445447 0 0.960424512212704 1.12208122267656 1.12201996492237 1.02409120329296 1.07164321245024 1.03978730799338 1.05864957545936 1.09803050148906 1.09270840800761
"Cervantes_Tratos" 1.08526678064854 1.05693453764279 1.05031477113628 1.06561707450061 1.05470953849448 0.879734397140268 0.960424512212704 0 1.05963348145737 1.14703188423026 1.14055652146999 1.11894428252145 1.06587650859423 1.02390206367573 1.0861942165003 1.07312516375573
"JCueva_Infamador" 1.08391499646252 1.08870425263995 1.07883140028437 1.11007483634871 1.15111890899058 1.06462891430733 1.12208122267656 1.05963348145737 0 0.928714572599756 0.929664764015135 1.09793166514608 1.05984755822205 1.02892782160052 1.11475504650108 1.08786513104408
"JCueva_Principe" 1.09910689642762 1.10780845655223 1.11655976715097 1.11134053503038 1.07689958003832 1.16851450286438 1.12201996492237 1.14703188423026 0.928714572599756 0 0.955419214572392 0.898979666989883 1.07183220546888 1.15905246100894 1.09163947975503 1.11874456784355
"JCueva_Saco" 1.11024667404612 1.13804871262086 1.07309604779103 1.1674268144048 1.10984293276532 1.06561653242223 1.02409120329296 1.14055652146999 0.929664764015135 0.955419214572392 0 1.03145014493715 1.04817090906096 1.09349245479385 1.10879330589677 1.11764859171635
"Lasso_Constantinopla" 1.09179685033771 1.09745618004815 1.07685523695165 1.13901327581753 1.05835354704507 1.09322060093163 1.07164321245024 1.11894428252145 1.09793166514608 0.898979666989883 1.03145014493715 0 0.941560737663506 1.11301745942755 1.1008346061666 1.10953615085895
"Lasso_Dido.restaurada" 1.0828182844417 1.10533395066069 1.06408815338636 1.13666552781284 1.07759004047057 1.04858780687665 1.03978730799338 1.06587650859423 1.05984755822205 1.07183220546888 1.04817090906096 0.941560737663506 0 1.0423319029044 1.11061593155386 1.0845314471072
"Virues_Marcela" 1.08828935520203 1.09602609305195 1.02494703462384 1.10049460909032 1.13811308881188 0.996270442173373 1.05864957545936 1.02390206367573 1.02892782160052 1.15905246100894 1.09349245479385 1.11301745942755 1.0423319029044 0 0.966329535799676 1.01622654057573
"Virues_Semirámis" 1.04440614094944 0.999160488484909 1.06471562235407 1.08407530131784 1.02349000818503 1.09190768706515 1.09803050148906 1.0861942165003 1.11475504650108 1.09163947975503 1.10879330589677 1.1008346061666 1.11061593155386 0.966329535799676 0 0.908097070114944
"Virues_Tirano" 1.01896856968884 1.07704928750085 1.04222462856974 1.07277367980798 1.07037253472149 1.06671048086845 1.09270840800761 1.07312516375573 1.08786513104408 1.11874456784355 1.11764859171635 1.10953615085895 1.0845314471072 1.01622654057573 0.908097070114944 0
