"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.937411914773268 1.07889698063116 1.04108368142236 1.07928203577217 1.10492786022028 1.03520925512037 1.08753795434233 1.09308099752149 1.09818310959395 1.10832546741377 1.10614345720097 1.08285629447807 1.07868458505498 1.02865654603459 1.01644218825
"Argensola_Isabela" 0.937411914773268 0 1.02953574046981 1.00568996134102 1.03290139198857 1.09252773774617 1.08972325716498 1.05350920484841 1.08627165527325 1.09731746799932 1.12252750609079 1.12060377466724 1.0940824624543 1.0840913176302 1.00929865053517 1.09389547948391
"Artieda_Amantes" 1.07889698063116 1.02953574046981 0 1.07943294829685 1.11884378351741 1.00159766171327 1.10718412500525 1.05942971620071 1.07059872448542 1.11265485540334 1.09156885777589 1.07960273065331 1.06143423043309 1.04425839063859 1.07513196834623 1.04060006107255
"Bermudez_Lastimosa" 1.04108368142236 1.00568996134102 1.07943294829685 0 0.827647126009748 1.10761539872382 1.07517368657386 1.05590911689152 1.1000185046001 1.10500584530726 1.1424573694025 1.13009230402687 1.12615831782824 1.09305547419037 1.08231425536514 1.06166049900384
"Bermudez_Laureada" 1.07928203577217 1.03290139198857 1.11884378351741 0.827647126009748 0 1.13410960988707 1.08163553812272 1.06896836370802 1.13217972946737 1.0861428954547 1.10678266491732 1.05850368295023 1.09133498904968 1.11624147015826 1.02496353168997 1.07733819602027
"Cervantes_GallardoEspanol" 1.10492786022028 1.09252773774617 1.00159766171327 1.10761539872382 1.13410960988707 0 0.993075810191529 0.923272550895675 1.05555775966201 1.13894490070475 1.07437985027408 1.09704857648754 1.05730885127414 1.01070161589347 1.08829285864631 1.07468390021826
"Cervantes_Numancia" 1.03520925512037 1.08972325716498 1.10718412500525 1.07517368657386 1.08163553812272 0.993075810191529 0 0.968865429959184 1.1169493690083 1.11569067587288 1.03356384005618 1.07642956585181 1.04083443398698 1.05760524505488 1.10300054837413 1.08881678279267
"Cervantes_Tratos" 1.08753795434233 1.05350920484841 1.05942971620071 1.05590911689152 1.06896836370802 0.923272550895675 0.968865429959184 0 1.07201226970746 1.12836726023356 1.11355475371104 1.09836145025424 1.05001801754746 1.0403928551876 1.09070062263144 1.07067149281698
"JCueva_Infamador" 1.09308099752149 1.08627165527325 1.07059872448542 1.1000185046001 1.13217972946737 1.05555775966201 1.1169493690083 1.07201226970746 0 0.95039157279137 0.940564791881452 1.07790805129174 1.0658503562871 1.04119942351678 1.1112727622983 1.07315822420151
"JCueva_Principe" 1.09818310959395 1.09731746799932 1.11265485540334 1.10500584530726 1.0861428954547 1.13894490070475 1.11569067587288 1.12836726023356 0.95039157279137 0 0.96776984665219 0.929763170660723 1.07848199922371 1.12516310974878 1.08598610045276 1.11743123072467
"JCueva_Saco" 1.10832546741377 1.12252750609079 1.09156885777589 1.1424573694025 1.10678266491732 1.07437985027408 1.03356384005618 1.11355475371104 0.940564791881452 0.96776984665219 0 1.02950269365645 1.05494109773631 1.09712097990081 1.10849470551717 1.10943901879453
"Lasso_Constantinopla" 1.10614345720097 1.12060377466724 1.07960273065331 1.13009230402687 1.05850368295023 1.09704857648754 1.07642956585181 1.09836145025424 1.07790805129174 0.929763170660723 1.02950269365645 0 0.954748813326581 1.1041323961486 1.09141291470116 1.09636055301807
"Lasso_Dido.restaurada" 1.08285629447807 1.0940824624543 1.06143423043309 1.12615831782824 1.09133498904968 1.05730885127414 1.04083443398698 1.05001801754746 1.0658503562871 1.07848199922371 1.05494109773631 0.954748813326581 0 1.05245919113717 1.10433415415037 1.08783677636334
"Virues_Marcela" 1.07868458505498 1.0840913176302 1.04425839063859 1.09305547419037 1.11624147015826 1.01070161589347 1.05760524505488 1.0403928551876 1.04119942351678 1.12516310974878 1.09712097990081 1.1041323961486 1.05245919113717 0 0.984472513079453 1.01449668902915
"Virues_Semirámis" 1.02865654603459 1.00929865053517 1.07513196834623 1.08231425536514 1.02496353168997 1.08829285864631 1.10300054837413 1.09070062263144 1.1112727622983 1.08598610045276 1.10849470551717 1.09141291470116 1.10433415415037 0.984472513079453 0 0.921885898238334
"Virues_Tirano" 1.01644218825 1.09389547948391 1.04060006107255 1.06166049900384 1.07733819602027 1.07468390021826 1.08881678279267 1.07067149281698 1.07315822420151 1.11743123072467 1.10943901879453 1.09636055301807 1.08783677636334 1.01449668902915 0.921885898238334 0
