	Source	Target	Weight	Type
3409	Noecker_J	Noecker_J	1	Undirected
3408	Ma_J	Ma_J	1	Undirected
3407	Jones_K	Walker_S	1	Undirected
3406	Alviar_J	Alviar_J	1	Undirected
3405	Calix_K	MCabe_G	1	Undirected
3403	Hubert_P	Labbé_C	1	Undirected
3399	Van-Peer_W	Van-Peer_W	1	Undirected
3391	Markham_M	Young_M	1	Undirected
3398	Canter_D	Canter_D	1	Undirected
3397	Chaoji_V	Honloor_A	1	Undirected
3395	Amores_J	Fernández_M	1	Undirected
3394	Johnston_M	Minton_S	1	Undirected
3393	Cheng_N	Subbalakshmi_K	1	Undirected
3392	Asawa_K	Bhargava_M	1	Undirected
3292	Bannerjee_A	Kumar_V	1	Undirected
3291	Charniak_E	Charniak_E	1	Undirected
3290	Greenstadt_R	Stoler_A	1	Undirected
3259	Aiden_A	Hoiberg_D	1	Undirected
3266	Pavelec_D	Pavelec_D	1	Undirected
3265	Amores_J	López_M	1	Undirected
3264	Amitay_E	Smith_A	1	Undirected
3262	L.-Brisson	Tarrant_H	1	Undirected
3261	Brofos_J	Dexter_J	1	Undirected
3260	Turunen_V	Virpioja_S	1	Undirected
3294	Dalen-Oskam_K	Kestemont_M	1	Undirected
3268	Adamo_G	Adamo_G	1	Undirected
3295	Gil_S	Gil_S	1	Undirected
3296	Thompson_P	Watts_B	1	Undirected
3297	Dahlbäck_N	Jönsson_A	1	Undirected
3331	Noordewier_M	Savari_S	1	Undirected
3330	Manzar_H	Westcott_S	1	Undirected
3329	Forestier_G	Forestier_G	1	Undirected
3267	Bouchard_T	McGue_M	1	Undirected
3270	Cardie_C	Gokhman_S	1	Undirected
3289	Cheong_M	Lee_V	1	Undirected
3281	Johnstone_D	Johnstone_D	1	Undirected
3288	Hyrskykari_A	Majaranta_P	1	Undirected
3286	Leonard_R	Leonard_R	1	Undirected
3285	Boleda_G	Corral_A	1	Undirected
3284	Jacoby_W	Sigelman_L	1	Undirected
3283	Dahmen_S	Mac-Carron_P	1	Undirected
3282	Malrieu_D	Rastier_F	1	Undirected
3280	Milward_D	Zaenen_A	1	Undirected
3272	Li_H	Zeng_L	1	Undirected
3279	Rygiel_D	Rygiel_D	1	Undirected
3276	Baker_J	Baker_J	1	Undirected
