	Id	Weight	Label
2417	Hung_J	1	Hung_J
2401	Walters_J	1	Walters_J
2402	Szafron_D	1	Szafron_D
2403	Llopis_F	1	Llopis_F
2404	Salkie_R	1	Salkie_R
1295	Pérez_M	1	Pérez_M
1317	Tsiotras_P	1	Tsiotras_P
144	Walters_P	1	Walters_P
1309	Peng_W	1	Peng_W
2868	Kreuzer_H	1	Kreuzer_H
2867	Kushmerick_N	1	Kushmerick_N
2866	Sampson_G	1	Sampson_G
1689	Dale_N	1	Dale_N
1682	Poessio_M	1	Poessio_M
1652	Xu_S	1	Xu_S
1672	Aiken_A	1	Aiken_A
1670	GÖRÜR_A	1	GÖRÜR_A
1654	Kleinfeld_Z	1	Kleinfeld_Z
1655	Beckman_B	1	Beckman_B
1656	Verma_R	1	Verma_R
1657	Brandt_S	1	Brandt_S
1658	Ellen_J	1	Ellen_J
1659	van-Hout_R	1	van-Hout_R
2872	Kingston_J	1	Kingston_J
1671	Conley_J	1	Conley_J
2871	Bareiss_C	1	Bareiss_C
1663	Urieli_A	1	Urieli_A
1664	Anand_S	1	Anand_S
1665	Huff_D	1	Huff_D
3332	McCrae_R	1	McCrae_R
1667	Naumann_S	1	Naumann_S
1668	Resnik_P	1	Resnik_P
1685	Baillie_W	1	Baillie_W
1684	Maxwell_J	1	Maxwell_J
2869	Frech_K	1	Frech_K
1622	Boldt_M	1	Boldt_M
1620	Bleha_S	1	Bleha_S
2880	Sneath_P	1	Sneath_P
1621	Jong_H	1	Jong_H
1623	Liakata_M	1	Liakata_M
1624	Buckingham_D	1	Buckingham_D
2883	Alexandersson_J	1	Alexandersson_J
1626	Greenacre_M	1	Greenacre_M
2881	Hsiao_M	1	Hsiao_M
1628	Girón_F	1	Girón_F
1629	Gipp_B	1	Gipp_B
1772	Munafo_M	1	Munafo_M
1681	McDonald_R	1	McDonald_R
1651	The-Google-Books-Team	1	The-Google-Books-Team
1653	Borgman_C	1	Borgman_C
1674	Campbell_G	1	Campbell_G
1675	Matlack_W	1	Matlack_W
1676	Ide_N	1	Ide_N
1677	Dawn_A	1	Dawn_A
1678	Kolter_J	1	Kolter_J
1679	Wishart_D	1	Wishart_D
1680	Payne_C	1	Payne_C
2870	Belkin_R	1	Belkin_R
1669	Lakshmanan_V	1	Lakshmanan_V
1662	Flinn_A	1	Flinn_A
1773	Harrison_D	1	Harrison_D
2819	Henderson_J	1	Henderson_J
1866	Hassell_J	1	Hassell_J
1867	Hanzo_L	1	Hanzo_L
1878	Dzikovska_M	1	Dzikovska_M
1868	Coupland_N	1	Coupland_N
2821	Abdi_H	1	Abdi_H
1871	Chatfield_C	1	Chatfield_C
1872	Kolmogorov_A	1	Kolmogorov_A
1873	Mann_W	1	Mann_W
2820	Robbins_H	1	Robbins_H
1875	Groeben_N	1	Groeben_N
1869	Gohl_C	1	Gohl_C
1863	Reibman_A	1	Reibman_A
1859	Storey_K	1	Storey_K
1898	Del-Lungo_A	1	Del-Lungo_A
1900	Toussaint_G	1	Toussaint_G
1922	Barboun_L	1	Barboun_L
1923	Richmond_K	1	Richmond_K
1924	Kramsky_J	1	Kramsky_J
1925	Nagao_M	1	Nagao_M
1926	Pietra_V	1	Pietra_V
1927	Hashin_Z	1	Hashin_Z
1928	Milliken_G	1	Milliken_G
1864	DeForest_M	1	DeForest_M
2825	Larson_P	1	Larson_P
1774	Khalaf_W	1	Khalaf_W
1890	Reed_J	1	Reed_J
1775	Morse-Gagné_E	1	Morse-Gagné_E
1881	Nebeská_I	1	Nebeská_I
1882	Last_R	1	Last_R
1883	Ahonen_T	1	Ahonen_T
1884	Randall_M	1	Randall_M
1885	Lowe_D	1	Lowe_D
1886	Baets_B	1	Baets_B
1887	Selvin_H	1	Selvin_H
2817	Seletsky_O	1	Seletsky_O
1888	Roossin_P	1	Roossin_P
1891	Boot_P	1	Boot_P
1861	Alexander_P	1	Alexander_P
1892	Moens_S	1	Moens_S
2816	Novak_J	1	Novak_J
1894	Soloway_E	1	Soloway_E
2815	Zhan_B	1	Zhan_B
1896	Varela_P	1	Varela_P
