"Bélico-social_CruzadosCausa-ne0020" "Bélico-social_FlordeSantidad-ne0017" "Bélico-social_GerifaltesAntano-ne0022" "Bélico-social_MediaNoche-ne0037" "Bélico-social_ResplandorHoguera-ne0021" "Esperpéntico_Baza-ne0036" "Esperpéntico_Corte-ne0033" "Esperpéntico_TiranoBanderas-ne0030" "Esperpéntico_Viva-ne0035" "Sonatas_SonataEstio-ne0014" "Sonatas_SonataInvierno-ne0016" "Sonatas_SonataOtono-ne0013" "Sonatas_SonataPrimavera-ne0015"
"de" 4.91885485047411 5.17812758906379 4.69245145039408 6.61617480630278 4.64748656338919 5.47786690725087 5.22248336852169 5.14613628416874 5.75993081710911 5.41988481628644 4.87865588052271 4.77948226270374 4.90426783613221
"la" 4.71371261852662 4.76387738193869 3.97741122938165 4.62261687124576 4.52102434397724 4.16576774471924 4.43506088249744 4.45710524691993 4.53329995562282 4.02696548953078 3.72121966397013 3.55225311601151 3.92020536955824
"el" 3.62417943107221 3.69200497100249 3.49394653449257 3.42996430747802 4.11792601960164 3.84411712789535 4.13761967361139 4.15681112322343 4.15324920633114 2.84834144381446 2.78365484339349 2.68935762224353 2.92009840624666
"y" 3.63785557986871 3.99233637116819 3.34768830746729 4.15252024027161 3.4539993676889 2.56535979759547 2.93590407521013 2.90421440177708 2.68083702194964 4.21000937541855 3.3146650072599 3.79194630872483 3.8827682105038
"en" 2.40700218818381 2.51139188069594 2.47013894531567 2.75093584051536 2.33164717040784 1.98874222841116 2.14848158918589 2.31802381784899 2.09255487409397 2.29920978615117 2.13233768927608 2.61265580057526 2.51898598780618
"que" 2.35229759299781 2.17481358740679 2.39700983180304 1.54087229041525 2.23680050584888 1.75534940278895 1.93735144537837 1.66395853472922 1.71819350727672 2.1831331755882 2.64675378552168 2.38734419942474 2.4494598352765
"los" 2.14259664478483 2.16445733222867 2.30762980417648 3.85653347262122 2.10243439772368 1.72593013905505 1.6186644358576 1.64133363499866 1.70226323634833 1.81258091879102 1.65525824517735 1.71140939597315 1.49748636217777
"a" 1.71407731582786 1.45505385252693 1.88104330868611 1.31452946809437 1.8020866266203 1.62394335811089 1.50314039490632 1.36366441103272 1.66357543552223 1.74561364346623 1.64281269446173 1.61073825503356 1.47074553428174
"con" 1.62290299051787 1.29971002485501 1.59258958316405 1.08818664577348 1.50964274423016 1.7965363720164 1.69700832569812 1.58374298113906 1.70112535985344 1.28577168623599 1.41464426467538 1.32310642377756 1.33169322922238
"un" 1.2490882567469 1.04080364540182 1.43414317055334 1.13171411160442 1.33970913689535 1.5494145566517 1.31591177681286 1.37189164729838 1.28693831571521 1.20541095584624 1.29433727442439 1.2607861936721 1.40121938175206
"las" 1.32202771699489 1.79163214581607 1.1619403591452 2.80316879951249 1.39108441353146 1.13558358012827 1.22694498665498 1.19089244945392 1.12877348292616 1.24112683601947 1.1698817672682 1.63950143815916 1.41726387848968
"se" 1.2354121079504 1.23239436619718 1.40164134232551 1.93261948289371 1.44641163452419 1.2650283405574 1.46463238125589 1.20734692198523 1.35521090540833 1.03576052502344 0.962455922007882 1.03547459252157 0.935928976361108
"no" 0.888949671772429 0.574772162386081 1.04412123181929 0.470096630974145 0.952418589946254 1.38662796399082 1.23756788697234 1.09833604146527 1.18680518416531 0.66520826822626 1.07861439535366 1.02588686481304 0.796876671301744
"del" 1.3083515681984 1.18061309030655 1.00349394653449 1.06207016627492 1.0946885867847 1.01202267244592 1.07424079459294 1.2464262942471 1.12649772993639 0.754497968659315 0.709396390790292 0.882070949185043 0.754091346668093
"una" 1.01659372720642 0.952775476387738 0.975054846835134 0.992426220945417 1.0946885867847 1.01202267244592 0.879045001261469 0.93790493428495 0.843166482709967 0.821465243984106 0.954158888197469 0.920421860019175 1.04824045352444
"por" 0.720277169948942 0.999378624689312 0.845047533923783 0.887960302951162 0.841764147960797 0.715868750858062 0.759537372691179 0.742508072975586 0.771480263532196 0.656279298182955 0.734287492221531 0.690316395014382 0.684565194138411
"al" 0.761305616338439 0.921706710853355 0.698789306898513 0.687733960128841 0.984034144799241 0.678604350128464 0.569653029518384 0.658178901252597 0.732792462706098 0.750033483637662 0.672059738643435 0.627996164908917 0.70060969087603
"su" 0.647337709700948 0.631731565865783 0.686601121313074 0.356925219813702 0.549320265570661 0.429521250514837 0.638701881581219 0.703428700713713 0.578041259401705 0.549131657663289 0.64302012030699 0.743048897411314 0.684565194138411
"me" 0.259846827133479 0.134631317315659 0.410335581376452 0.12187690432663 0.260828327537148 0.607998117167121 0.529817153328287 0.612929101791481 0.489286892800655 0.830394214027412 1.27774320680357 0.953978906999041 1.02149962562841
"le" 0.547045951859956 0.315865782932891 0.755667506297229 0.147993383825194 0.553272209927284 0.713907466609136 0.467407613963802 0.528599930068492 0.609901801258491 0.339300861645609 0.510267579340386 0.417066155321189 0.32088993475238
"para" 0.565280816921955 0.476387738193869 0.544405622816283 0.304692260816575 0.644166930129624 0.527585462961147 0.521849978090268 0.475122894341718 0.530250446616524 0.397339166927095 0.468782410288322 0.426653883029722 0.390416087282062
"es" 0.351021152443472 0.19159072079536 0.325018282278378 0.348219726647515 0.335915270312994 0.713907466609136 0.589570967613433 0.41958904954853 0.589420024350557 0.245546676190901 0.510267579340386 0.292425695110259 0.192533960851428
"lo" 0.510576221735959 0.367647058823529 0.552531079873243 0.200226342822321 0.644166930129624 0.531508031458999 0.515210665391919 0.364055204755343 0.513182299193246 0.294656011429082 0.394109105994607 0.330776605944391 0.443897743074126
"como" 0.469547775346462 0.626553438276719 0.499715609003006 0.391747192478454 0.430761934871957 0.325573185321749 0.293457621267046 0.25915794236821 0.242367693410557 0.656279298182955 0.676208255548641 0.671140939597315 0.663172531821585
"mi" 0.305433989788476 0.124275062137531 0.207199154952466 0.0435274658309393 0.225260828327537 0.286347500343225 0.24432670729926 0.376396059153829 0.252608581864524 0.656279298182955 0.692802323169467 0.536912751677852 0.791528505722537
"sobre" 0.319110138584974 0.455675227837614 0.255951897294223 0.696439453295029 0.387290546949099 0.298115205836782 0.302752659044736 0.343487114091199 0.25602221134918 0.428590562078664 0.215722879070732 0.508149568552253 0.358327093806824
"sus" 0.268964259664478 0.611019055509528 0.243763711708784 0.443980151475581 0.193645273474549 0.300076490085708 0.268228233013318 0.29206688743084 0.25602221134918 0.482164382338497 0.373366521468575 0.570469798657718 0.58295004813349
"usted" 0.0455871626549964 0 0.190948240838547 0.0174109863323757 0.0869427758457161 0.760978288583364 0.349227847933182 0.394907340751558 0.491562645790426 0.0223224251082638 0.1949802945447 0.0287631831255992 0
"yo" 0.319110138584974 0.10874067937034 0.239700983180304 0.0261164794985636 0.241068605754031 0.15494145566517 0.204490831109164 0.150147061848249 0.159302709283934 0.629492388053038 0.883634100808961 0.666347075743049 0.796876671301744
"don" 0.287199124726477 0.0103562551781276 0.434711952547331 0 0.162029718621562 0.388334281287387 0.213785868886853 0.318805405294227 0.450599091974557 0.0133934550649583 0.215722879070732 0.292425695110259 0.0106963311584127
"ojos" 0.341903719912473 0.367647058823529 0.349394653449257 0.24375380865326 0.395194435662346 0.270657226351815 0.167310679998407 0.133692589316934 0.143372438355541 0.366087771775526 0.456336859572703 0.441035474592522 0.454594074232538
"si" 0.273522975929978 0.170878210439105 0.243763711708784 0.0870549316618787 0.284539993676889 0.296153921587856 0.326654184758794 0.228305806371994 0.244643446400328 0.223224251082638 0.273802115743622 0.210930009587728 0.240667451064285
"qué" 0.173231218088986 0.15016570008285 0.276265539936621 0.12187690432663 0.252924438823901 0.241237962617922 0.297441208886056 0.234476233571238 0.248057075884983 0.169650430822805 0.302841734080066 0.340364333652924 0.246015616643491
"ha" 0.100291757840992 0.0517812758906379 0.117819127325912 0.104465917994254 0.0632311097059753 0.378527860042756 0.333293497457143 0.215964951973508 0.384602255271213 0.0803607303897495 0.190831777639494 0.0335570469798658 0.139052305059365
"sin" 0.196024799416484 0.155343827671914 0.264077354351182 0.182815356489945 0.248972494467278 0.26281208935611 0.228392356823222 0.189226434110122 0.241229816915672 0.312513951515693 0.215722879070732 0.273250239693193 0.32088993475238
"más" 0.209700948212983 0.160521955260978 0.170634598196149 0.147993383825194 0.177837496048056 0.247121815364701 0.264244645394309 0.310578169028569 0.251470705369639 0.218759766060985 0.224019912881145 0.215723873441994 0.21927478874746
"era" 0.36925601750547 0.248550124275062 0.29251645405054 0.00870549316618786 0.252924438823901 0.117677054935572 0.172622130157086 0.150147061848249 0.154751203304393 0.339300861645609 0.331881352416511 0.397890699904123 0.363675259386031
"pero" 0.237053245805981 0.124275062137531 0.320955553749898 0.104465917994254 0.213404995257667 0.219663835879734 0.224408769204212 0.187169625043707 0.201404139594688 0.142863520692888 0.273802115743622 0.177372962607862 0.251363782222698
"muy" 0.200583515681984 0.134631317315659 0.365645567563175 0.0696439453295029 0.177837496048056 0.164747876909801 0.24963815745794 0.25915794236821 0.245781322895213 0.142863520692888 0.132752540966604 0.153403643336529 0.112311477163333
"señor" 0.264405543398979 0.357290803645402 0.109693670268953 0.0174109863323757 0.0987986089155865 0.137289897424834 0.12747480380831 0.156317489047492 0.254884334854295 0.22768873610429 0.29869321717486 0.158197507190796 0.192533960851428
"te" 0.159555069292487 0.124275062137531 0.174697326724628 0.0261164794985636 0.150173885551691 0.217702551630808 0.24299884475959 0.234476233571238 0.171819350727672 0.035715880173222 0.170089193113462 0.273250239693193 0.0748743181088887
"dos" 0.209700948212983 0.222659486329743 0.162509141139189 0.304692260816575 0.237116661397408 0.12356090768235 0.176605717776096 0.109010880519961 0.146786067840197 0.183043885887763 0.207425845260319 0.26366251198466 0.176489464113809
"ya" 0.159555069292487 0.170878210439105 0.186885512310067 0.104465917994254 0.241068605754031 0.117677054935572 0.163327092379397 0.0925564079886464 0.147923944335082 0.191972855931068 0.25305953121759 0.258868648130393 0.197882126430634
"cuando" 0.191466083150985 0.217481358740679 0.211261883480946 0.104465917994254 0.209453050901043 0.0607998117167121 0.1234912161893 0.100783644254304 0.0898922430959344 0.312513951515693 0.269653598838415 0.268456375838926 0.288800941277142
"entre" 0.164113785557987 0.139809444904722 0.215324612009426 0.2872812744842 0.189693329117926 0.160825308411948 0.12614694126864 0.14603344371542 0.121752784952721 0.218759766060985 0.0871188550093342 0.167785234899329 0.128355973900952
"marqués" 0.337345003646973 0 0.00406272852847973 0 0.00395194435662346 0.0882577912016789 0.318687009520774 0 0.167267844748131 0.071431760346444 0.211574362165526 0.0910834132310642 0.096266980425714
"voz" 0.337345003646973 0.201946975973488 0.223450069066385 0.147993383825194 0.197597217831173 0.0568772432188597 0.074360302221514 0.067874699191674 0.0728240956726557 0.116076610562972 0.302841734080066 0.210930009587728 0.251363782222698
"todos" 0.196024799416484 0.113918806959403 0.219387340537905 0.104465917994254 0.181789440404679 0.125522191931277 0.150048466982698 0.0925564079886464 0.124028537942492 0.0937541854547078 0.0788218211989214 0.100671140939597 0.0855706492673013
"todo" 0.150437636761488 0.113918806959403 0.121881855854392 0.0609384521633151 0.110654441985457 0.170631729656579 0.104901140633922 0.0946132170550608 0.145648191345311 0.165185945801152 0.10371292263016 0.115052732502397 0.171141298534603
"son" 0.150437636761488 0.139809444904722 0.0975054846835134 0.252459301819448 0.134366108125198 0.188283287896915 0.11950762857029 0.100783644254304 0.120614908457836 0.0669672753247913 0.128604024061398 0.100671140939597 0.0855706492673013
"bajo" 0.227935813274982 0.201946975973488 0.190948240838547 0.278575781318012 0.185741384761303 0.0823739384549003 0.0982618279355721 0.121351734918448 0.0739619721675409 0.12947006562793 0.132752540966604 0.11025886864813 0.16044496737619
"tú" 0.132202771699489 0.103562551781276 0.186885512310067 0.0261164794985636 0.213404995257667 0.105909349442015 0.185900755553785 0.0740451263909171 0.101271008044787 0.0267869101299165 0.120306990250985 0.13902205177373 0.0427853246336507
