"ne0013" "ne0014" "ne0015" "ne0016" "ne0017" "ne0020" "ne0021" "ne0022" "ne0023" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037"
"ne0013" 0 0.93910176106218 0.869976768721671 0.959137051462025 0.946054289859089 1.01528709984196 1.05546370695638 1.04885441715553 1.09711990910976 1.21945309787926 1.21006307139717 1.24909543000508 1.22131055137408 1.11159607618796
"ne0014" 0.93910176106218 0 0.913108101520633 0.968692509258253 1.00843708972054 1.06742027965566 1.08826696044994 1.12500253448557 1.016780220034 1.14452335805266 1.20473353804223 1.21357021903387 1.16694251701556 1.0661032673289
"ne0015" 0.869976768721671 0.913108101520633 0 0.907698210822547 1.00314041698209 1.06343864664082 1.10258420648616 1.08677854301802 1.05199793939894 1.19005299118526 1.21584569091709 1.23069152922789 1.22689177499454 1.12855172612171
"ne0016" 0.959137051462025 0.968692509258253 0.907698210822547 0 1.10319226373605 1.03773722073008 1.04988662144494 1.02097327973209 1.11836515960939 1.16853229037623 1.11373257918776 1.15981862997068 1.14388550445681 1.14699414215125
"ne0017" 0.946054289859089 1.00843708972054 1.00314041698209 1.10319226373605 0 0.978607486493093 0.983366091867293 1.06368998199976 1.03789044335872 1.19231875307039 1.21903212887661 1.24765607912161 1.24680006441497 0.985216980007959
"ne0020" 1.01528709984196 1.06742027965566 1.06343864664082 1.03773722073008 0.978607486493093 0 0.952017813785953 1.00542884845012 1.11848634366875 1.13816500138953 1.12381800046785 1.14459281075441 1.14855877499576 1.09120975714465
"ne0021" 1.05546370695638 1.08826696044994 1.10258420648616 1.04988662144494 0.983366091867293 0.952017813785953 0 0.851750389738957 1.1636904968178 1.13993344649602 1.12704957976809 1.15961768325249 1.14498988630538 1.05343892796408
"ne0022" 1.04885441715553 1.12500253448557 1.08677854301802 1.02097327973209 1.06368998199976 1.00542884845012 0.851750389738957 0 1.12991072537144 1.0980025002384 1.11223434875362 1.12757287829038 1.11794809106123 1.08131459964272
"ne0023" 1.09711990910976 1.016780220034 1.05199793939894 1.11836515960939 1.03789044335872 1.11848634366875 1.1636904968178 1.12991072537144 0 1.07854075050271 1.15490010244789 1.16024346406802 1.132254712053 0.93258548502984
"ne0030" 1.21945309787926 1.14452335805266 1.19005299118526 1.16853229037623 1.19231875307039 1.13816500138953 1.13993344649602 1.0980025002384 1.07854075050271 0 0.881738761509274 0.847734774594076 0.858338352793521 1.08936426919966
"ne0033" 1.21006307139717 1.20473353804223 1.21584569091709 1.11373257918776 1.21903212887661 1.12381800046785 1.12704957976809 1.11223434875362 1.15490010244789 0.881738761509274 0 0.618416749519702 0.821369341112463 1.18254885454974
"ne0035" 1.24909543000508 1.21357021903387 1.23069152922789 1.15981862997068 1.24765607912161 1.14459281075441 1.15961768325249 1.12757287829038 1.16024346406802 0.847734774594076 0.618416749519702 0 0.700712139828618 1.1692201312543
"ne0036" 1.22131055137408 1.16694251701556 1.22689177499454 1.14388550445681 1.24680006441497 1.14855877499576 1.14498988630538 1.11794809106123 1.132254712053 0.858338352793521 0.821369341112463 0.700712139828618 0 1.1390625142106
"ne0037" 1.11159607618796 1.0661032673289 1.12855172612171 1.14699414215125 0.985216980007959 1.09120975714465 1.05343892796408 1.08131459964272 0.93258548502984 1.08936426919966 1.18254885454974 1.1692201312543 1.1390625142106 0
